物品编号	名字	几率	抽一万次得元宝价值
1833040100	传送戒指	10	0
1313000100	恢复剂（特级）	1000	0
1633040011	小喇叭	1500	0
1333050022	双倍经验宝石	2000	0
1633070072	疯狂药水(大)	2500	0
1330000002	挑战答题卷	3000	0
1613000001	生命之源	3500	0
1633100102	铁钥匙	4800	0
1633050010	在线挂机宝石	4500	0
1433000502	二级麻料	5000	0
1633060010	复活药水	5800	0
1333500002	公会升级令	6000	0
1433000703	三级植物纤维	6500	0
1633200001	替身娃娃	7000	0
1433000909	五级金刚石	7500	0
1313002700	50点技能经验石	8000	0
1313002800	离线挂机宝石	8800	0
1433001101	千年古木	9200	0
1613000011	魔力之源	9800	0
1633000203	1千点技能经验石	10000	0
