编号	名字	图像	游戏币价格	元宝价格	转生要求	品质	源技能编号（升级用)	对应技能编号	种族要求	等级要求	简介
id	name	icon	moneyCost	treasureCost	requiredTurn	quality	sourceSpellID	targetSpellID	requiredRace	requiredLevel	description
1320000100	魔法箭	5	100	0	0	0	0	95000101	0	0	学会魔法箭
1320000200	治疗术	5	100	0	0	0	0	97000101	0	0	学会治疗术
1320000300	虚弱箭	5	500	0	0	0	0	95000701	0	9	学会虚弱箭
1320000400	火焰箭	5	1000	0	0	0	0	95000601	0	18	学会火焰箭
1320000600	幻影盾	5	1500	0	0	0	0	97000301	0	32	学会幻影盾
1320000700	追踪箭	5	1500	0	0	0	0	95000201	0	32	学会追踪箭
1320000800	冰冻箭	5	3000	0	0	0	0	95000301	0	56	学会冰冻箭
1320000900	躲闪术	5	5000	0	0	0	0	97000201	0	68	学会躲闪术
1320001000	近射	5	10000	0	0	0	0	95000401	0	80	学会近射
1320001100	连射	5	10000	10	1	5	95000110	95000111	0	0	将10级的魔法箭升级为连射，需要10级的魔法箭
1320001200	闪光箭	5	10000	10	1	5	95000610	95000611	0	45	将10级的火焰箭升级为闪光箭，需要10级的火焰箭
1320001300	爆炸箭 	5	10000	10	1	5	95000210	95000211	0	60	将10级的追踪箭升级为爆炸箭，需要10级的追踪箭
1321000100	闪电术	5	100	0	0	0	0	95010101	1	0	学会闪电术
1321000200	适魔	5	100	0	0	0	0	97010101	1	0	学会适魔
1321000300	卸甲	5	500	0	0	0	0	97010201	1	9	学会卸甲
1321000400	火焰术	5	1000	0	0	0	0	95010201	1	18	学会火焰术
1321000500	毒气弹	5	1000	0	0	0	0	95010601	1	18	学会毒气弹
1321000600	石笋术	5	1500	0	0	0	0	95010301	1	32	学会石笋术
1321000700	雷击术	5	2000	0	0	0	0	95010401	1	44	学会雷击术
1321000800	地火术	5	3000	0	0	0	0	96010101	1	56	学会地火术
1321001000	雷云术	5	10000	0	0	0	0	95010501	1	80	学会雷云术
1321001100	爆弹术	5	10000	10	1	5	95010110	95010111	1	0	将10级的闪电术升级为爆弹术，需要10级的闪电术
1321001200	火丛	5	10000	10	1	5	96010110	96010111	1	45	将10级的地火术升级为火丛，需要10级的地火术
1321001300	天眼	5	10000	10	1	5	97010210	97010211	1	60	将10级的卸甲升级为天眼，需要10级的卸甲
1322000100	重击	5	100	0	0	0	0	95020101	2	0	学会重击
1322000200	专注	5	100	0	0	0	0	97020301	2	0	学会专注
1322000300	护甲	5	500	0	0	0	0	97020101	2	9	学会护甲
1322000400	元素之刃	5	1000	0	0	0	0	95020201	2	18	学会元素之刃
1322000500	狂暴	5	1000	0	0	0	0	97020201	2	18	学会狂暴
1322000600	迅捷	5	1500	0	0	0	0	97020401	2	32	学会迅捷
1322000800	旋风斩	5	3000	0	0	0	0	95020401	2	56	学会旋风斩
1322000900	刺击	5	5000	0	0	0	0	95020601	2	68	学会刺击
1322001000	鲜血之刃	5	10000	0	0	0	0	95020301	2	80	学会鲜血之刃
1322001100	闪击	5	10000	10	1	5	95020110	95020111	2	0	将10级的重击升级为闪击，需要10级的重击
1322001200	烈火之刃	5	10000	10	1	5	95020610	95020611	2	45	将10级的刺击升级为烈火之刃，需要10级的刺击
1322001300	狂热	5	10000	10	1	5	97020210	97020211	2	60	将10级的狂暴升级为狂热，需要10级的狂暴
