编号	名字	图像	游戏币价格	元宝价格	简介	类型(吐露爱意，调侃捉弄，动作类)	作用的显示范围	"持续时间(秒,最大255)"	优先度	文本内容
id	name	icon	moneyCost	treasureCost	description	cType	coverage	timeLast	priority	text
1633090001	鲜花	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX送给了YYY一束美丽的鲜花，表达了自己的爱慕之情。
1633090002	索吻	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX强行吻了YYY，我是流氓我怕谁？怎么样你是不是爱上我拉？
1633090003	拥抱	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX深情的拥抱了YYY，含情默默的对YYY说：我爱你！如果非要加上点期限的话：我愿意一万年！
1633090004	脸红	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	YYY看着XXX，两片红云飞上了脸颊。
1633090005	英雄	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX指着YYY笑道：“你的相貌岂仅俊美而已，简直是风流潇洒，前无古人，后无来者。潘安退避三舍，宋玉甘拜下风。”
1633090006	风流	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX在YYY耳边轻轻呵了一口气，说道：“在你刀下死，做鬼也风流。”
1633090007	殉情	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX深情款款地凝视着YYY，说道：“你死了，我怎么还能独活着！”
1633090008	哭	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX越想越伤心，终于忍不住趴在YYY的肩膀上放声大哭起来，就连老天也感动的哭勒！
1633090009	偷吻	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX在YYY脸上偷偷亲了一下。
1633090010	999朵玫瑰	1	4000	0	在游戏中自由选择播放该道具语句	0	0	10	0	XXX送给YYY999朵玫瑰，表达自己对YYY深深的爱，美丽的花瓣飘舞起来。
1633090011	吐痰	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX向着YYY的脸吐了一口痰，你还别嫌脏，就这早上我还没刷牙呢。
1633090012	机器人	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX敲了敲YYY的脑袋，咚咚作响，打开一看，全是乱麻似的电线，不禁摇了摇头道：“这种机器人也太原始了！”
1633090013	纪念日	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX对着YYY狞笑着地说道：“明年的今天，就是你的忌日！”
1633090014	咬人	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX真想狠狠地咬YYY一口，看看他大哭的样子。
1633090015	佩服	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX双手抱拳，讨好地对YYY说道：“在下对你的景仰之情，有如滔滔江水连绵不绝。
1633090016	吹牛	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX把胸脯拍得噼啪响，对YYY咆哮：“武林中拳头大的说话，你有种上来跟我比划比划！”
1633090017	再见	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	其时明月在天，清风吹叶，树巅乌鸦呀啊而鸣，XXX再也忍耐不住，望着YYY的背影，泪珠夺眶而出。
1633090018	问候	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX感动得热泪盈眶，向着YYY振臂高呼：“你今天囧了吗？”
1633090019	好孩子	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX拍了拍YYY的头，说：“好孩子，听话，乖。”
1633090020	没出息	2	4000	0	在游戏中自由选择播放该道具语句	1	0	10	0	XXX一把鼻涕一把眼泪地哭着，对着YYY骂道：“你这么没出息，叫我怎么对得起你死去的爹娘啊！”
1633090021	蛋糕	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX把一块生日蛋糕扣在了YYY的脸上，YYY一脸的无辜的看着XXX。
1633090022	板砖	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX狠狠的拍了YYY一板砖，让YYY顿时感到清醒。
1633090023	啤酒瓶	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX当头给了YYY一啤酒瓶，YYY顿时倒地吐血不止。
1633090024	飞脚	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX给了YYY一记佛山无影脚，YYY浑身布满了鞋印子。
1633090025	脑崩儿	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX在YYY的头上弹了个清脆的脑崩儿，YYY的脑门儿上立刻长出了个大包包。
1633090026	小心	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX对着YYY劝道：“走路防跌，吃饭防噎，你别太招摇了，当心有一天栽在人家手里！”
1633090027	棍棒	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX手舞木棒，对准YYY的后脑一记闷棍，YYY哼也没哼一声，软软的摔倒在地。
1633090028	冷	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX举着剑，眼神像冰一样，冷冷地瞪着YYY，YYY不自禁地打了个哆嗦，往后退了一步。
1633090029	木乃伊	3	4000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX很利索地把YYY的肚子剖了开来，塞进稻草，只一会就做成了一具好看的木乃伊。
1633090030	群殴	3	8000	0	在游戏中自由选择播放该道具语句	2	0	10	0	XXX声嘶力竭地叫道，“对YYY这样的家还讲什么江湖道义，大伙并肩子上啊！”
1633090031	鲜花	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX送给了YYY一束美丽的鲜花，表达了自己的爱慕之情。
1633090032	索吻	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX强行吻了YYY，我是流氓我怕谁？怎么样你是不是爱上我拉？
1633090033	拥抱	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX深情的拥抱了YYY，含情默默的对YYY说：我爱你！如果非要加上点期限的话：我愿意一万年！
1633090034	脸红	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	YYY看着XXX，两片红云飞上了脸颊。
1633090035	英雄	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX指着YYY笑道：“你的相貌岂仅俊美而已，简直是风流潇洒，前无古人，后无来者。潘安退避三舍，宋玉甘拜下风。”
1633090036	风流	1	8000	0	在游戏中自由选择播放该道具语句	0	1	15	1	XXX在YYY耳边轻轻呵了一口气，说道：“在你刀下死，做鬼也风流。”
