编号	名字	等级	图标	飞行特效类型	动画样式	动画播放时间	能否锁定对象	伤害类型	伤害使用次数	使用范围	伤害扩散范围X	伤害扩散范围Y	伤害范围填充	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	攻击最小值	攻击最大值	自身冷却时间	公共冷却时间	产生状态ID	产生状态几率	强壮计算因子	智力计算因子	敏捷计算因子	自身物理伤害计算因子	自身魔法伤害计算因子	怪物被伤害时的仇恨计算系数	简介
id	name	level	icon	flyerType	animation	timeLast	lockAbility	damageType	showTimes	releaseRange	xExtHurtRange	yExtHurtRange	extHurtRangeFilled	maxExperience	requiredLevel	nextLevelSpellID	manaCost	minDamage	maxDamage	selfCoolTime	globalCoolTime	fightStateID	stateRate	strengthFactor	wisdomFactor	dexterityFactor	selfPhysicalDamageFactor	selfMagicDamageFactor	enmityFactor	description
95020101	重击	1	1	0	13	400	1	1	1	2	0	0	1	200	5	95020102	15	2	10	0	0	0	0	10	0	0	200	0	10	力量爆发，产生超常的攻击
95020102	重击	2	1	0	13	400	1	1	1	2	0	0	1	400	10	95020103	18	19	39	0	0	0	0	10	0	0	200	0	12	力量爆发，产生超常的攻击
95020103	重击	3	1	0	13	400	1	1	1	2	0	0	1	800	15	95020104	21	34	66	0	0	0	0	10	0	0	202	0	14	力量爆发，产生超常的攻击
95020104	重击	4	1	0	13	400	1	1	1	2	0	0	1	1400	20	95020105	24	51	100	0	0	0	0	10	0	0	202	0	16	力量爆发，产生超常的攻击
95020105	重击	5	1	0	13	400	1	1	1	2	0	0	1	2200	25	95020106	27	67	135	0	0	0	0	10	0	0	204	0	18	力量爆发，产生超常的攻击
95020106	重击	6	1	0	13	400	1	1	1	2	0	0	1	3200	30	95020107	30	84	174	0	0	0	0	10	0	0	204	0	20	力量爆发，产生超常的攻击
95020107	重击	7	1	0	13	400	1	1	1	2	0	0	1	4400	35	95020108	33	99	202	0	0	0	0	10	0	0	206	0	22	力量爆发，产生超常的攻击
95020108	重击	8	1	0	13	400	1	1	1	2	0	0	1	5800	40	95020109	36	114	243	0	0	0	0	10	0	0	206	0	24	力量爆发，产生超常的攻击
95020109	重击	9	1	0	13	400	1	1	1	2	0	0	1	7400	45	95020110	39	135	288	0	0	0	0	10	0	0	208	0	26	力量爆发，产生超常的攻击
95020110	重击	10	1	0	13	400	1	1	1	2	0	0	1	0	0	0	42	150	335	0	0	0	0	10	0	0	210	0	28	力量爆发，产生超常的攻击
95020201	元素之刃	1	2	0	19	500	1	0	1	2	0	0	1	600	23	95020202	25	33	46	1000	800	0	0	5	20	0	200	0	15	使攻击魔法化
95020202	元素之刃	2	2	0	19	500	1	0	1	2	0	0	1	1200	28	95020203	28	40	56	1000	800	0	0	5	20	0	200	0	18	使攻击魔法化
95020203	元素之刃	3	2	0	19	500	1	0	1	2	0	0	1	2000	33	95020204	31	54	69	1000	800	0	0	5	20	0	200	0	21	使攻击魔法化
95020204	元素之刃	4	2	0	19	500	1	0	1	2	0	0	1	3000	38	95020205	34	61	79	1000	800	0	0	5	20	0	200	0	24	使攻击魔法化
95020205	元素之刃	5	2	0	19	500	1	0	1	2	0	0	1	4200	43	95020206	37	72	101	1000	800	0	0	5	20	0	200	0	27	使攻击魔法化
95020206	元素之刃	6	2	0	19	500	1	0	1	2	0	0	1	5600	48	95020207	40	79	111	1000	800	0	0	5	20	0	200	0	30	使攻击魔法化
95020207	元素之刃	7	2	0	19	500	1	0	1	2	0	0	1	7200	53	95020208	43	90	124	1000	800	0	0	5	20	0	200	0	33	使攻击魔法化
95020208	元素之刃	8	2	0	19	500	1	0	1	2	0	0	1	9000	58	95020209	46	106	134	1000	800	0	0	5	20	0	200	0	36	使攻击魔法化
95020209	元素之刃	9	2	0	19	500	1	0	1	2	0	0	1	11000	63	95020210	49	114	159	1000	800	0	0	5	20	0	200	0	39	使攻击魔法化
95020210	元素之刃	10	2	0	19	500	1	0	1	2	0	0	1	0	0	0	52	124	172	1000	800	0	0	5	20	0	200	0	42	使攻击魔法化
95020301	鲜血之刃	1	3	0	11	400	0	1	1	2	0	0	1	1600	83	95020302	76	55	135	5000	1000	85000401	30	0	0	0	160	0	10	有30%几率让目标流血，每秒减少生命33，持续12秒
95020302	鲜血之刃	2	3	0	11	400	0	1	1	2	0	0	1	3200	86	95020303	79	58	145	5000	1000	85000402	50	0	0	0	164	0	13	有50%几率让目标流血，每秒减少生命50，持续12秒
95020303	鲜血之刃	3	3	0	11	400	0	1	1	2	0	0	1	5000	89	95020304	82	61	155	5000	1000	85000403	50	0	0	0	168	0	16	有50%几率让目标流血，每秒减少生命65，持续12秒
95020304	鲜血之刃	4	3	0	11	400	0	1	1	2	0	0	1	7000	92	95020305	85	64	165	5000	1000	85000404	70	0	0	0	172	0	19	有70%几率让目标流血，每秒减少生命80，持续12秒
95020305	鲜血之刃	5	3	0	11	400	0	1	1	2	0	0	1	9200	95	95020306	88	67	175	5000	1000	85000405	70	0	0	0	176	0	22	有70%几率让目标流血，每秒减少生命95，持续12秒
95020306	鲜血之刃	6	3	0	11	400	0	1	1	2	0	0	1	11600	98	95020307	91	70	185	5000	1000	85000406	90	0	0	0	180	0	25	有90%几率让目标流血，每秒减少生命110，持续12秒
95020307	鲜血之刃	7	3	0	11	400	0	1	1	2	0	0	1	14000	101	95020308	94	73	195	5000	1000	85000407	90	0	0	0	184	0	28	有90%几率让目标流血，每秒减少生命125，持续12秒
95020308	鲜血之刃	8	3	0	11	400	0	1	1	2	0	0	1	16400	104	95020309	97	76	205	5000	1000	85000408	100	0	0	0	188	0	31	有100%几率让目标流血，每秒减少生命140，持续12秒
95020309	鲜血之刃	9	3	0	11	400	0	1	1	2	0	0	1	18800	107	95020310	100	79	215	5000	1000	85000409	100	0	0	0	192	0	34	有100%几率让目标流血，每秒减少生命155，持续12秒
95020310	鲜血之刃	10	3	0	11	400	0	1	1	2	0	0	1	0	0	0	103	82	225	5000	1000	85000410	100	0	0	0	200	0	37	有100%几率让目标流血，每秒减少生命170，持续12秒
95020401	旋风斩	1	4	0	15	400	0	1	1	2	2	2	2	1200	60	95020402	58	36	84	1000	800	0	0	0	0	15	140	0	8	攻击以目标为中心的十字范围
95020402	旋风斩	2	4	0	15	400	0	1	1	2	2	2	2	2400	64	95020403	61	40	95	1000	800	0	0	0	0	15	144	0	10	攻击以目标为中心的十字范围
95020403	旋风斩	3	4	0	15	400	0	1	1	2	2	2	2	3800	68	95020404	64	44	106	1000	800	0	0	0	0	15	148	0	12	攻击以目标为中心的十字范围
95020404	旋风斩	4	4	0	15	400	0	1	1	2	2	2	2	5400	72	95020405	67	48	117	1000	800	0	0	0	0	15	152	0	14	攻击以目标为中心的十字范围
95020405	旋风斩	5	4	0	15	400	0	1	1	2	2	2	2	7200	76	95020406	70	52	128	1000	800	0	0	0	0	15	156	0	16	攻击以目标为中心的十字范围
95020406	旋风斩	6	4	0	15	400	0	1	1	2	2	2	2	9200	80	95020407	73	56	139	1000	800	0	0	0	0	15	160	0	18	攻击以目标为中心的十字范围
95020407	旋风斩	7	4	0	15	400	0	1	1	2	2	2	2	11400	84	95020408	76	60	150	1000	800	0	0	0	0	15	164	0	20	攻击以目标为中心的十字范围
95020408	旋风斩	8	4	0	15	400	0	1	1	2	2	2	2	13800	88	95020409	79	64	161	1000	800	0	0	0	0	15	168	0	22	攻击以目标为中心的十字范围
95020409	旋风斩	9	4	0	15	400	0	1	1	2	2	2	2	16200	92	95020410	82	68	172	1000	800	0	0	0	0	15	172	0	24	攻击以目标为中心的十字范围
95020410	旋风斩	10	4	0	15	400	0	1	1	2	2	2	2	0	0	0	85	72	183	1000	800	0	0	0	0	15	180	0	26	攻击以目标为中心的十字范围
95020411	旋风斩	11	4	0	15	400	0	1	1	2	2	2	2	0	0	0	85	100	250	1000	800	0	0	0	0	20	200	0	50	攻击以目标为中心的十字范围
95020601	刺击	1	23	0	21	500	1	1	1	2	0	0	1	1400	71	95020602	43	51	124	2000	1000	85000101	100	0	0	0	200	0	30	攻击目标，减少目标20生命以及20魔法
95020602	刺击	2	23	0	21	500	1	1	1	2	0	0	1	2800	74	95020603	46	57	134	2000	1000	85000102	100	0	0	0	200	0	35	攻击目标，减少目标100生命以及50魔法
95020603	刺击	3	23	0	21	500	1	1	1	2	0	0	1	4400	77	95020604	49	63	144	2000	1000	85000103	100	0	0	0	200	0	40	攻击目标，减少目标180生命以及80魔法
95020604	刺击	4	23	0	21	500	1	1	1	2	0	0	1	6200	80	95020605	52	69	154	2000	1000	85000104	100	0	0	0	200	0	45	攻击目标，减少目标260生命以及110魔法
95020605	刺击	5	23	0	21	500	1	1	1	2	0	0	1	8200	83	95020606	55	75	164	2000	1000	85000105	100	0	0	0	200	0	50	攻击目标，减少目标340生命以及140魔法
95020606	刺击	6	23	0	21	500	1	1	1	2	0	0	1	10400	86	95020607	58	81	174	2000	1000	85000106	100	0	0	0	200	0	55	攻击目标，减少目标420生命以及170魔法
95020607	刺击	7	23	0	21	500	1	1	1	2	0	0	1	12800	89	95020608	61	87	184	2000	1000	85000107	100	0	0	0	200	0	60	攻击目标，减少目标500生命以及200魔法
95020608	刺击	8	23	0	21	500	1	1	1	2	0	0	1	15200	92	95020609	64	93	194	2000	1000	85000108	100	0	0	0	200	0	65	攻击目标，减少目标580生命以及230魔法
