编号	名字	图标	目标效果动画	起作用时间间隔	持续时间	使用范围	伤害扩散范围X	伤害扩散范围Y	伤害范围填充	等级	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	伤害力	自身冷却时间	公共冷却时间	强壮计算因子	智力计算因子	敏捷计算因子	怪物被伤害时的仇恨计算系数	简介
id	name	icon	effectAnimation	effectDelayTime	effectLifeTime	releaseRange	xExtHurtRange	yExtHurtRange	extHurtRangeFilled	level	maxExperience	requiredLevel	nextLevelSpellID	manaCost	lifeChanged	selfCoolTime	globalCoolTime	strengthFactor	wisdomFactor	dexterityFactor	enmityFactor	description
96010101	地火术	17	2	1000	6000	6	0	0	1	1	400	60	96010102	80	700	5000	1000	0	200	0	30	引出地下之火，每秒造成伤害
96010102	地火术	17	2	950	6000	6	0	0	1	2	1600	65	96010103	87	820	5000	1000	0	200	0	33	引出地下之火，每秒造成伤害
96010103	地火术	17	2	900	6000	6	0	0	1	3	2800	70	96010104	94	940	5000	1000	0	200	0	36	引出地下之火，每秒造成伤害
96010104	地火术	17	2	850	6000	6	0	0	1	4	4400	75	96010105	101	1060	5000	1000	0	200	0	39	引出地下之火，每秒造成伤害
96010105	地火术	17	2	800	7000	6	0	0	1	5	6000	80	96010106	108	1180	5000	1000	0	200	0	42	引出地下之火，每秒造成伤害
96010106	地火术	17	2	750	7000	6	0	0	1	6	8000	85	96010107	115	1300	5000	1000	0	200	0	45	引出地下之火，每秒造成伤害
96010107	地火术	17	2	700	7000	6	0	0	1	7	10000	90	96010108	122	1420	5000	1000	0	200	0	48	引出地下之火，每秒造成伤害
96010108	地火术	17	2	650	7000	6	0	0	1	8	12400	95	96010109	129	1540	5000	1000	0	200	0	51	引出地下之火，每秒造成伤害
96010109	地火术	17	2	600	8000	6	0	0	1	9	14800	100	96010110	136	1660	5000	1000	0	200	0	54	引出地下之火，每秒造成伤害
96010110	地火术	17	2	500	8000	6	0	0	1	10	0	0	0	143	1780	5000	1000	0	200	0	57	引出地下之火，每秒造成伤害
96010111	火丛	18	2	1000	8000	6	1	1	0	1	4000	45	96010112	130	600	2500	1000	0	200	0	70	引出一丛地下之火，每秒造成伤害
96010112	火丛	18	2	1000	8000	6	1	1	0	2	6000	52	96010113	150	850	2500	1000	0	200	0	80	引出一丛地下之火，每秒造成伤害
96010113	火丛	18	2	900	8000	6	1	1	0	3	8000	59	96010114	170	1100	2500	1000	0	200	0	90	引出一丛地下之火，每秒造成伤害
96010114	火丛	18	2	900	8000	6	1	1	0	4	11000	66	96010115	190	1350	2500	1000	0	200	0	100	引出一丛地下之火，每秒造成伤害
96010115	火丛	18	2	800	8000	6	1	1	0	5	14000	73	96010116	210	1600	2500	1000	0	200	0	110	引出一丛地下之火，每秒造成伤害
96010116	火丛	18	2	800	8000	6	1	1	0	6	17000	80	96010117	230	1850	2500	1000	0	200	0	120	引出一丛地下之火，每秒造成伤害
96010117	火丛	18	2	700	8000	6	1	1	0	7	21000	87	96010118	250	2100	2500	1000	0	200	0	130	引出一丛地下之火，每秒造成伤害
96010118	火丛	18	2	700	8000	6	1	1	0	8	25000	94	96010119	270	2350	2500	1000	0	200	0	140	引出一丛地下之火，每秒造成伤害
96010119	火丛	18	2	600	8000	6	1	1	0	9	30000	101	96010120	290	2600	2500	1000	0	200	0	150	引出一丛地下之火，每秒造成伤害
96010120	火丛	18	2	600	8000	6	1	1	0	10	0	0	0	310	2850	2500	1000	0	200	0	160	引出一丛地下之火，每秒造成伤害
