编号	名字	等级需求	图标	光影等级	套装样式	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	icon	haloIndex	appearance	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1110000100	麻布甲	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000101	麻布甲+1	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000102	麻布甲+2	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000103	麻布甲+3	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000104	麻布甲+4	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000105	麻布甲+5	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000106	麻布甲+6	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000107	麻布甲+7	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000108	麻布甲+8	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000109	麻布甲+9	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000110	麻布甲+10	0	1	0	0	0	9	0	用麻布制成的布甲	0	0	0	0	0	1	23	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000200	硬皮甲	12	2	0	0	0	750	0	用硬皮制成的皮甲	500	0	0	0	0	1	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000201	硬皮甲+1	12	2	0	0	0	750	0	用硬皮制成的皮甲	600	0	0	0	0	1	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000202	硬皮甲+2	12	2	0	0	0	750	0	用硬皮制成的皮甲	700	0	0	0	0	1	19	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000203	硬皮甲+3	12	2	0	0	0	750	0	用硬皮制成的皮甲	800	10000	500	0	0	1	21	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000204	硬皮甲+4	12	2	0	0	0	750	0	用硬皮制成的皮甲	900	10000	500	0	0	1	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000205	硬皮甲+5	12	2	0	0	0	750	0	用硬皮制成的皮甲	1000	10000	500	0	0	1	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000206	硬皮甲+6	12	2	0	0	0	750	0	用硬皮制成的皮甲	1100	10000	500	0	0	1	27	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000207	硬皮甲+7	12	2	0	0	0	750	0	用硬皮制成的皮甲	1200	10000	500	0	0	1	29	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000208	硬皮甲+8	12	2	0	0	0	750	0	用硬皮制成的皮甲	1300	10000	500	0	0	1	31	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000209	硬皮甲+9	12	2	0	0	0	750	0	用硬皮制成的皮甲	1400	10000	500	0	0	1	33	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110000210	硬皮甲+10	12	2	0	0	0	750	0	用硬皮制成的皮甲	0	10000	500	0	0	1	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
