编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1130000100	麻布靴	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	1	1	2	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000101	麻布靴+1	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	3	3	3	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000102	麻布靴+2	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	5	5	4	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000103	麻布靴+3	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	7	7	5	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000104	麻布靴+4	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	9	9	6	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000105	麻布靴+5	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	11	11	7	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000106	麻布靴+6	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	13	13	8	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000107	麻布靴+7	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	15	15	9	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000108	麻布靴+8	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	17	17	10	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000109	麻布靴+9	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	19	19	11	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000110	麻布靴+10	0	0	1	0	9	0	用麻布制成的靴子	0	0	0	0	0	3	21	21	12	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000200	硬皮靴	12	0	2	0	750	0	用硬皮制成的靴子	500	0	0	0	0	3	5	3	4	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000201	硬皮靴+1	12	0	2	0	750	0	用硬皮制成的靴子	600	0	0	0	0	3	7	5	5	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000202	硬皮靴+2	12	0	2	0	750	0	用硬皮制成的靴子	700	0	0	0	0	3	9	7	6	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000203	硬皮靴+3	12	0	2	0	750	0	用硬皮制成的靴子	800	10000	500	0	0	3	11	9	7	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000204	硬皮靴+4	12	0	2	0	750	0	用硬皮制成的靴子	900	10000	500	0	0	3	13	11	8	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000205	硬皮靴+5	12	0	2	0	750	0	用硬皮制成的靴子	1000	10000	500	0	0	3	15	13	9	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000206	硬皮靴+6	12	0	2	0	750	0	用硬皮制成的靴子	1100	10000	500	0	0	3	17	15	10	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000207	硬皮靴+7	12	0	2	0	750	0	用硬皮制成的靴子	1200	10000	500	0	0	3	19	17	11	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000208	硬皮靴+8	12	0	2	0	750	0	用硬皮制成的靴子	1300	10000	500	0	0	3	21	19	12	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000209	硬皮靴+9	12	0	2	0	750	0	用硬皮制成的靴子	1400	10000	500	0	0	3	23	21	13	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130000210	硬皮靴+10	12	0	2	0	750	0	用硬皮制成的靴子	0	10000	500	0	0	3	25	23	14	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1130010200	精品硬皮靴	12	0	2	1	750	0	用硬皮制成的靴子	500	0	0	0	0	3	5	3	4	-300	0	1	1	0	0	0	0	0	0	0	0	0	0
1130010201	精品硬皮靴+1	12	0	2	1	750	0	用硬皮制成的靴子	600	0	0	0	0	3	7	5	5	-300	0	2	1	0	0	0	0	0	0	0	0	0	0
1130010202	精品硬皮靴+2	12	0	2	1	750	0	用硬皮制成的靴子	700	0	0	0	0	3	9	7	6	-300	0	3	2	0	0	0	0	0	0	0	0	0	0
1130010203	精品硬皮靴+3	12	1	2	1	750	0	用硬皮制成的靴子	800	0	0	0	0	3	11	9	7	-300	0	3	3	0	0	0	0	0	0	0	0	0	0
1130010204	精品硬皮靴+4	12	1	2	1	750	0	用硬皮制成的靴子	900	5000	1000	0	0	3	13	11	8	-300	0	4	3	0	0	0	0	0	0	0	0	0	0
1130010205	精品硬皮靴+5	12	2	2	1	750	0	用硬皮制成的靴子	1000	6000	1000	0	0	3	15	13	9	-300	0	5	4	0	0	0	0	0	0	0	0	0	0
1130010206	精品硬皮靴+6	12	2	2	1	750	0	用硬皮制成的靴子	1100	7000	1000	0	0	3	17	15	10	-300	0	5	5	0	0	0	0	0	0	0	0	0	0
1130010207	精品硬皮靴+7	12	2	2	1	750	0	用硬皮制成的靴子	1200	8000	1000	0	0	3	19	17	11	-300	0	6	5	0	0	0	0	0	0	0	0	0	0
1130010208	精品硬皮靴+8	12	3	2	1	750	0	用硬皮制成的靴子	1300	9000	1000	0	0	3	21	19	12	-300	0	7	6	0	0	0	0	0	0	0	0	0	0
1130010209	精品硬皮靴+9	12	3	2	1	750	0	用硬皮制成的靴子	1400	10000	1000	0	0	3	23	21	13	-300	0	7	7	0	0	0	0	0	0	0	0	0	0
1130010210	精品硬皮靴+10	12	4	2	1	750	0	用硬皮制成的靴子	0	10000	1000	0	0	3	25	23	14	-300	0	8	7	0	0	0	0	0	0	0	0	0	0
