编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1120000100	麻头饰	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000101	麻头饰+1	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000102	麻头饰+2	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000103	麻头饰+3	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000104	麻头饰+4	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000105	麻头饰+5	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000106	麻头饰+6	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000107	麻头饰+7	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000108	麻头饰+8	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000109	麻头饰+9	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000110	麻头饰+10	0	0	1	0	9	0	用麻布制成的头饰	0	0	0	0	0	2	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000200	硬头饰	12	0	2	0	500	0	用硬皮制成的头饰	500	0	0	0	0	2	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000201	硬头饰+1	12	0	2	0	500	0	用硬皮制成的头饰	600	0	0	0	0	2	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000202	硬头饰+2	12	0	2	0	500	0	用硬皮制成的头饰	700	0	0	0	0	2	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000203	硬头饰+3	12	0	2	0	500	0	用硬皮制成的头饰	800	10000	500	0	0	2	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000204	硬头饰+4	12	0	2	0	500	0	用硬皮制成的头饰	900	10000	500	0	0	2	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000205	硬头饰+5	12	0	2	0	500	0	用硬皮制成的头饰	1000	10000	500	0	0	2	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000206	硬头饰+6	12	0	2	0	500	0	用硬皮制成的头饰	1100	10000	500	0	0	2	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000207	硬头饰+7	12	0	2	0	500	0	用硬皮制成的头饰	1200	10000	500	0	0	2	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000208	硬头饰+8	12	0	2	0	500	0	用硬皮制成的头饰	1300	10000	500	0	0	2	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000209	硬头饰+9	12	0	2	0	500	0	用硬皮制成的头饰	1400	10000	500	0	0	2	28	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120000210	硬头饰+10	12	0	2	0	500	0	用硬皮制成的头饰	0	10000	500	0	0	2	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1120010200	精品硬头饰	12	0	2	1	500	0	用硬皮制成的头饰	500	0	0	0	0	2	10	6	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
1120010201	精品硬头饰+1	12	0	2	1	500	0	用硬皮制成的头饰	600	0	0	0	0	2	12	8	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
1120010202	精品硬头饰+2	12	0	2	1	500	0	用硬皮制成的头饰	700	0	0	0	0	2	14	10	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
1120010203	精品硬头饰+3	12	1	2	1	500	0	用硬皮制成的头饰	800	0	0	0	0	2	16	12	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0
1120010204	精品硬头饰+4	12	1	2	1	500	0	用硬皮制成的头饰	900	5000	1000	0	0	2	18	14	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0
1120010205	精品硬头饰+5	12	2	2	1	500	0	用硬皮制成的头饰	1000	6000	1000	0	0	2	20	16	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0
1120010206	精品硬头饰+6	12	2	2	1	500	0	用硬皮制成的头饰	1100	7000	1000	0	0	2	22	18	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0
1120010207	精品硬头饰+7	12	2	2	1	500	0	用硬皮制成的头饰	1200	8000	1000	0	0	2	24	20	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0
1120010208	精品硬头饰+8	12	3	2	1	500	0	用硬皮制成的头饰	1300	9000	1000	0	0	2	26	22	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0
1120010209	精品硬头饰+9	12	3	2	1	500	0	用硬皮制成的头饰	1400	10000	1000	0	0	2	28	24	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0
1120010210	精品硬头饰+10	12	4	2	1	500	0	用硬皮制成的头饰	0	10000	1000	0	0	2	30	26	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0
1120020200	极品硬头饰	12	0	2	2	500	0	用硬皮制成的头饰	500	0	0	0	0	2	10	6	0	0	0	3	2	2	0	0	0	2	0	0	0	0	0
1120020201	极品硬头饰+1	12	0	2	2	500	0	用硬皮制成的头饰	600	0	0	0	0	2	12	8	0	0	0	4	2	2	0	0	0	2	0	0	0	0	0
