编号	名字	等级需求	图标	光影等级	套装样式	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	icon	haloIndex	appearance	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1111000100	粗布袍	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000101	粗布袍+1	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000102	粗布袍+2	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000103	粗布袍+3	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000104	粗布袍+4	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000105	粗布袍+5	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000106	粗布袍+6	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000107	粗布袍+7	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111000108	粗布袍+8	0	1	0	0	0	9	0	很普通的布制长袍	0	0	0	0	1	1	18	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
