编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1131000100	粗布鞋	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	1	1	2	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000101	粗布鞋+1	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	3	3	3	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000102	粗布鞋+2	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	5	5	4	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000103	粗布鞋+3	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	7	7	5	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000104	粗布鞋+4	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	9	9	6	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000105	粗布鞋+5	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	11	11	7	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000106	粗布鞋+6	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	13	13	8	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000107	粗布鞋+7	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	15	15	9	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000108	粗布鞋+8	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	17	17	10	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000109	粗布鞋+9	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	19	19	11	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000110	粗布鞋+10	0	0	1	0	9	0	很普通的布制鞋子	0	0	0	0	1	3	21	21	12	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000200	兽皮鞋	12	0	2	0	500	0	动物皮所制成的鞋子	500	0	0	0	1	3	4	5	3	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000201	兽皮鞋+1	12	0	2	0	500	0	动物皮所制成的鞋子	600	0	0	0	1	3	6	7	4	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000202	兽皮鞋+2	12	0	2	0	500	0	动物皮所制成的鞋子	700	0	0	0	1	3	8	9	5	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000203	兽皮鞋+3	12	0	2	0	500	0	动物皮所制成的鞋子	800	10000	500	0	1	3	10	11	6	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000204	兽皮鞋+4	12	0	2	0	500	0	动物皮所制成的鞋子	900	10000	500	0	1	3	12	13	7	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000205	兽皮鞋+5	12	0	2	0	500	0	动物皮所制成的鞋子	1000	10000	500	0	1	3	14	15	8	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000206	兽皮鞋+6	12	0	2	0	500	0	动物皮所制成的鞋子	1100	10000	500	0	1	3	16	17	9	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000207	兽皮鞋+7	12	0	2	0	500	0	动物皮所制成的鞋子	1200	10000	500	0	1	3	18	19	10	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000208	兽皮鞋+8	12	0	2	0	500	0	动物皮所制成的鞋子	1300	10000	500	0	1	3	20	21	11	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000209	兽皮鞋+9	12	0	2	0	500	0	动物皮所制成的鞋子	1400	10000	500	0	1	3	22	23	12	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131000210	兽皮鞋+10	12	0	2	0	500	0	动物皮所制成的鞋子	0	10000	500	0	1	3	24	25	13	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1131010200	精品兽皮鞋	12	0	2	1	500	0	动物皮所制成的鞋子	500	0	0	0	1	3	4	5	3	-300	0	1	1	0	0	0	0	0	0	0	0	0	0
1131010201	精品兽皮鞋+1	12	0	2	1	500	0	动物皮所制成的鞋子	600	0	0	0	1	3	6	7	4	-300	0	2	2	0	0	0	0	0	0	0	0	0	0
1131010202	精品兽皮鞋+2	12	0	2	1	500	0	动物皮所制成的鞋子	700	0	0	0	1	3	8	9	5	-300	0	2	3	0	0	0	0	0	0	0	0	0	0
1131010203	精品兽皮鞋+3	12	1	2	1	500	0	动物皮所制成的鞋子	800	0	0	0	1	3	10	11	6	-300	0	3	3	0	0	0	0	0	0	0	0	0	0
1131010204	精品兽皮鞋+4	12	1	2	1	500	0	动物皮所制成的鞋子	900	5000	1000	0	1	3	12	13	7	-300	0	4	4	0	0	0	0	0	0	0	0	0	0
1131010205	精品兽皮鞋+5	12	2	2	1	500	0	动物皮所制成的鞋子	1000	6000	1000	0	1	3	14	15	8	-300	0	4	5	0	0	0	0	0	0	0	0	0	0
