编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1121000100	粗布帽	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000101	粗布帽+1	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000102	粗布帽+2	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000103	粗布帽+3	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000104	粗布帽+4	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000105	粗布帽+5	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000106	粗布帽+6	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000107	粗布帽+7	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000108	粗布帽+8	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000109	粗布帽+9	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000110	粗布帽+10	0	0	1	0	9	0	很普通的布制帽子	0	0	0	0	1	2	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000200	兽皮帽	12	0	2	0	500	0	动物皮所制成的帽子	500	0	0	0	1	2	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000201	兽皮帽+1	12	0	2	0	500	0	动物皮所制成的帽子	600	0	0	0	1	2	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000202	兽皮帽+2	12	0	2	0	500	0	动物皮所制成的帽子	700	0	0	0	1	2	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000203	兽皮帽+3	12	0	2	0	500	0	动物皮所制成的帽子	800	10000	500	0	1	2	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000204	兽皮帽+4	12	0	2	0	500	0	动物皮所制成的帽子	900	10000	500	0	1	2	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000205	兽皮帽+5	12	0	2	0	500	0	动物皮所制成的帽子	1000	10000	500	0	1	2	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121000206	兽皮帽+6	12	0	2	0	500	0	动物皮所制成的帽子	1100	10000	500	0	1	2	19	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
