编号	名字	等级需求	图标	光影等级	套装样式	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	icon	haloIndex	appearance	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1112000100	轻型铠甲	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000101	轻型铠甲+1	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000102	轻型铠甲+2	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000103	轻型铠甲+3	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000104	轻型铠甲+4	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000105	轻型铠甲+5	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000106	轻型铠甲+6	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000107	轻型铠甲+7	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000108	轻型铠甲+8	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000109	轻型铠甲+9	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000110	轻型铠甲+10	0	1	0	0	0	9	0	一般士兵所用的轻型铠甲	0	0	0	0	2	1	23	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112000200	精铁铠甲	12	2	0	0	0	750	0	精铁打造而成的铠甲	500	0	0	0	2	1	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
1112000201	精铁铠甲+1	12	2	0	0	0	750	0	精铁打造而成的铠甲	600	0	0	0	2	1	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0
1112000202	精铁铠甲+2	12	2	0	0	0	750	0	精铁打造而成的铠甲	700	0	0	0	2	1	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0
1112000203	精铁铠甲+3	12	2	0	0	0	750	0	精铁打造而成的铠甲	800	10000	500	0	2	1	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
1112000204	精铁铠甲+4	12	2	0	0	0	750	0	精铁打造而成的铠甲	900	10000	500	0	2	1	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
1112000205	精铁铠甲+5	12	2	0	0	0	750	0	精铁打造而成的铠甲	1000	10000	500	0	2	1	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0
1112000206	精铁铠甲+6	12	2	0	0	0	750	0	精铁打造而成的铠甲	1100	10000	500	0	2	1	28	24	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
1112000207	精铁铠甲+7	12	2	0	0	0	750	0	精铁打造而成的铠甲	1200	10000	500	0	2	1	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
1112000208	精铁铠甲+8	12	2	0	0	0	750	0	精铁打造而成的铠甲	1300	10000	500	0	2	1	32	28	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
1112000209	精铁铠甲+9	12	2	0	0	0	750	0	精铁打造而成的铠甲	1400	10000	500	0	2	1	34	30	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0
1112000210	精铁铠甲+10	12	2	0	0	0	750	0	精铁打造而成的铠甲	0	10000	500	0	2	1	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
1112010200	精品精铁铠甲	12	2	0	0	1	750	0	精铁打造而成的铠甲	500	0	0	0	2	1	16	11	0	0	0	5	3	0	0	0	0	0	0	0	0	60	0
1112010201	精品精铁铠甲+1	12	2	0	0	1	750	0	精铁打造而成的铠甲	600	0	0	0	2	1	18	13	0	0	0	6	4	0	0	0	0	0	0	0	0	65	0
1112010202	精品精铁铠甲+2	12	2	0	0	1	750	0	精铁打造而成的铠甲	700	0	0	0	2	1	20	15	0	0	0	6	4	0	0	0	0	0	0	0	0	70	0
1112010203	精品精铁铠甲+3	12	2	1	0	1	750	0	精铁打造而成的铠甲	800	0	0	0	2	1	22	17	0	0	0	7	5	0	0	0	0	0	0	0	0	75	0
1112010204	精品精铁铠甲+4	12	2	1	0	1	750	0	精铁打造而成的铠甲	900	5000	1000	0	2	1	24	19	0	0	0	8	6	0	0	0	0	0	0	0	0	80	0
1112010205	精品精铁铠甲+5	12	2	2	0	1	750	0	精铁打造而成的铠甲	1000	6000	1000	0	2	1	26	22	0	0	0	8	6	0	0	0	0	0	0	0	0	85	0
1112010206	精品精铁铠甲+6	12	2	2	0	1	750	0	精铁打造而成的铠甲	1100	7000	1000	0	2	1	28	24	0	0	0	9	7	0	0	0	0	0	0	0	0	90	0
1112010207	精品精铁铠甲+7	12	2	2	0	1	750	0	精铁打造而成的铠甲	1200	8000	1000	0	2	1	30	26	0	0	0	10	8	0	0	0	0	0	0	0	0	95	0
1112010208	精品精铁铠甲+8	12	2	3	0	1	750	0	精铁打造而成的铠甲	1300	9000	1000	0	2	1	32	28	0	0	0	10	8	0	0	0	0	0	0	0	0	100	0
1112010209	精品精铁铠甲+9	12	2	3	0	1	750	0	精铁打造而成的铠甲	1400	10000	1000	0	2	1	34	30	0	0	0	11	9	0	0	0	0	0	0	0	0	105	0
1112010210	精品精铁铠甲+10	12	2	4	0	1	750	0	精铁打造而成的铠甲	0	10000	1000	0	2	1	36	33	0	0	0	12	10	0	0	0	0	0	0	0	0	110	0
1112020200	极品精铁铠甲	12	2	0	0	2	750	0	精铁打造而成的铠甲	500	0	0	0	2	1	16	11	0	0	0	5	3	2	0	0	0	2	0	0	0	60	0
1112020201	极品精铁铠甲+1	12	2	0	0	2	750	0	精铁打造而成的铠甲	600	0	0	0	2	1	18	13	0	0	0	6	4	2	0	0	0	2	0	0	0	65	0
1112020202	极品精铁铠甲+2	12	2	0	0	2	750	0	精铁打造而成的铠甲	700	0	0	0	2	1	20	15	0	0	0	6	4	2	0	0	0	2	0	0	0	70	0
1112020203	极品精铁铠甲+3	12	2	2	0	2	750	0	精铁打造而成的铠甲	800	0	0	0	2	1	22	17	0	0	0	7	5	2	0	0	0	2	0	0	0	75	0
1112020204	极品精铁铠甲+4	12	2	2	0	2	750	0	精铁打造而成的铠甲	900	0	0	0	2	1	24	19	0	0	0	8	6	2	0	0	0	2	0	0	0	80	0
1112020205	极品精铁铠甲+5	12	2	3	0	2	750	0	精铁打造而成的铠甲	1000	2500	1500	0	2	1	26	22	0	0	0	8	6	2	0	0	0	2	0	0	0	85	0
1112020206	极品精铁铠甲+6	12	2	3	0	2	750	0	精铁打造而成的铠甲	1100	3500	1500	0	2	1	28	24	0	0	0	9	7	2	0	0	0	2	0	0	0	90	0
1112020207	极品精铁铠甲+7	12	2	3	0	2	750	0	精铁打造而成的铠甲	1200	4500	1500	0	2	1	30	26	0	0	0	10	8	2	0	0	0	2	0	0	0	95	0
1112020208	极品精铁铠甲+8	12	2	4	0	2	750	0	精铁打造而成的铠甲	1300	5500	1500	0	2	1	32	28	0	0	0	10	8	2	0	0	0	2	0	0	0	100	0
1112020209	极品精铁铠甲+9	12	2	4	0	2	750	0	精铁打造而成的铠甲	1400	7000	1500	0	2	1	34	30	0	0	0	11	9	2	0	0	0	2	0	0	0	105	0
1112020210	极品精铁铠甲+10	12	2	5	0	2	750	0	精铁打造而成的铠甲	0	10000	1500	0	2	1	36	33	0	0	0	12	10	2	0	0	0	2	0	0	0	110	0
1112030200	完美精铁铠甲	12	2	0	0	3	120000	24	精铁打造而成的铠甲	500	0	0	48	2	1	16	11	0	0	0	5	3	2	10	0	0	2	0	0	10	160	60
1112030201	完美精铁铠甲+1	12	2	0	0	3	120000	24	精铁打造而成的铠甲	600	0	0	48	2	1	18	13	0	0	0	6	4	2	10	0	0	2	0	0	10	165	60
1112030202	完美精铁铠甲+2	12	2	0	0	3	120000	24	精铁打造而成的铠甲	700	0	0	48	2	1	20	15	0	0	0	6	4	2	10	0	0	2	0	0	10	170	60
1112030203	完美精铁铠甲+3	12	2	3	0	3	120000	24	精铁打造而成的铠甲	800	0	0	48	2	1	22	17	0	0	0	7	5	2	10	0	0	2	0	0	10	175	60
1112030204	完美精铁铠甲+4	12	2	3	0	3	120000	24	精铁打造而成的铠甲	900	0	0	48	2	1	24	19	0	0	0	8	6	2	10	0	0	2	0	0	10	180	60
1112030205	完美精铁铠甲+5	12	2	4	0	3	120000	24	精铁打造而成的铠甲	1000	0	0	48	2	1	26	22	0	0	0	8	6	2	10	0	0	2	0	0	10	185	60
1112030206	完美精铁铠甲+6	12	2	4	0	3	120000	24	精铁打造而成的铠甲	1100	0	0	48	2	1	28	24	0	0	0	9	7	2	10	0	0	2	0	0	10	190	60
1112030207	完美精铁铠甲+7	12	2	4	0	3	120000	24	精铁打造而成的铠甲	1200	1000	2000	48	2	1	30	26	0	0	0	10	8	2	10	0	0	2	0	0	10	195	60
1112030208	完美精铁铠甲+8	12	2	5	0	3	120000	24	精铁打造而成的铠甲	1300	1100	2000	48	2	1	32	28	0	0	0	10	8	2	10	0	0	2	0	0	10	200	60
1112030209	完美精铁铠甲+9	12	2	5	0	3	120000	24	精铁打造而成的铠甲	1400	1200	2000	48	2	1	34	30	0	0	0	11	9	2	10	0	0	2	0	0	10	205	60
1112030210	完美精铁铠甲+10	12	2	6	0	3	120000	24	精铁打造而成的铠甲	0	1300	2000	48	2	1	36	33	0	0	0	12	10	2	10	0	0	2	0	0	10	210	60
1112040200	神品精铁铠甲	12	2	0	0	4	200000	40	精铁打造而成的铠甲	500	0	0	80	2	1	16	11	0	0	0	5	3	2	10	10	10	2	10	10	10	160	60
1112040201	神品精铁铠甲+1	12	2	0	0	4	200000	40	精铁打造而成的铠甲	600	0	0	80	2	1	18	13	0	0	0	6	4	2	10	10	10	2	10	10	10	165	60
1112040202	神品精铁铠甲+2	12	2	0	0	4	200000	40	精铁打造而成的铠甲	700	0	0	80	2	1	20	15	0	0	0	6	4	2	10	10	10	2	10	10	10	170	60
1112040203	神品精铁铠甲+3	12	2	4	0	4	200000	40	精铁打造而成的铠甲	800	0	0	80	2	1	22	17	0	0	0	7	5	2	10	10	10	2	10	10	10	175	60
1112040204	神品精铁铠甲+4	12	2	4	0	4	200000	40	精铁打造而成的铠甲	900	0	0	80	2	1	24	19	0	0	0	8	6	2	10	10	10	2	10	10	10	180	60
1112040205	神品精铁铠甲+5	12	2	5	0	4	200000	40	精铁打造而成的铠甲	1000	0	0	80	2	1	26	22	0	0	0	8	6	2	10	10	10	2	10	10	10	185	60
1112040206	神品精铁铠甲+6	12	2	5	0	4	200000	40	精铁打造而成的铠甲	1100	0	0	80	2	1	28	24	0	0	0	9	7	2	10	10	10	2	10	10	10	190	60
1112040207	神品精铁铠甲+7	12	2	5	0	4	200000	40	精铁打造而成的铠甲	1200	0	0	80	2	1	30	26	0	0	0	10	8	2	10	10	10	2	10	10	10	195	60
1112040208	神品精铁铠甲+8	12	2	6	0	4	200000	40	精铁打造而成的铠甲	1300	0	0	80	2	1	32	28	0	0	0	10	8	2	10	10	10	2	10	10	10	200	60
1112040209	神品精铁铠甲+9	12	2	6	0	4	200000	40	精铁打造而成的铠甲	1400	0	0	80	2	1	34	30	0	0	0	11	9	2	10	10	10	2	10	10	10	205	60
1112040210	神品精铁铠甲+10	12	2	7	0	4	200000	40	精铁打造而成的铠甲	0	0	0	80	2	1	36	33	0	0	0	12	10	2	10	10	10	2	10	10	10	210	60
1112000300	青狼铠甲	24	3	0	0	0	1125	0	有青狼印记的铠甲	800	0	0	0	2	1	30	24	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
1112000301	青狼铠甲+1	24	3	0	0	0	1125	0	有青狼印记的铠甲	900	0	0	0	2	1	33	27	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
1112000302	青狼铠甲+2	24	3	0	0	0	1125	0	有青狼印记的铠甲	1000	0	0	0	2	1	36	31	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
