编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1132000100	轻型靴	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	1	1	2	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000101	轻型靴+1	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	3	3	3	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000102	轻型靴+2	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	5	5	4	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000103	轻型靴+3	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	7	7	5	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000104	轻型靴+4	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	9	9	6	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000105	轻型靴+5	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	11	11	7	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000106	轻型靴+6	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	13	13	8	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000107	轻型靴+7	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	15	15	9	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000108	轻型靴+8	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	17	17	10	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000109	轻型靴+9	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	19	19	11	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000110	轻型靴+10	0	0	1	0	9	0	一般士兵所用的轻型靴子	0	0	0	0	2	3	21	21	12	-300	0	0	0	0	0	0	0	0	0	0	0	0	0
1132000200	精铁靴	12	0	2	0	500	0	精铁打造而成的靴子	500	0	0	0	2	3	5	4	3	-300	0	0	0	0	0	0	0	0	0	0	0	60	0
1132000201	精铁靴+1	12	0	2	0	500	0	精铁打造而成的靴子	600	0	0	0	2	3	7	6	4	-300	0	0	0	0	0	0	0	0	0	0	0	65	0
1132000202	精铁靴+2	12	0	2	0	500	0	精铁打造而成的靴子	700	0	0	0	2	3	9	8	5	-300	0	0	0	0	0	0	0	0	0	0	0	70	0
1132000203	精铁靴+3	12	0	2	0	500	0	精铁打造而成的靴子	800	10000	500	0	2	3	11	11	6	-300	0	0	0	0	0	0	0	0	0	0	0	75	0
1132000204	精铁靴+4	12	0	2	0	500	0	精铁打造而成的靴子	900	10000	500	0	2	3	13	13	7	-300	0	0	0	0	0	0	0	0	0	0	0	80	0
1132000205	精铁靴+5	12	0	2	0	500	0	精铁打造而成的靴子	1000	10000	500	0	2	3	15	15	8	-300	0	0	0	0	0	0	0	0	0	0	0	85	0
1132000206	精铁靴+6	12	0	2	0	500	0	精铁打造而成的靴子	1100	10000	500	0	2	3	17	17	9	-300	0	0	0	0	0	0	0	0	0	0	0	90	0
