编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1122000100	轻型头盔	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000101	轻型头盔+1	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000102	轻型头盔+2	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000103	轻型头盔+3	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000104	轻型头盔+4	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000105	轻型头盔+5	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000106	轻型头盔+6	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000107	轻型头盔+7	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122000108	轻型头盔+8	0	0	1	0	9	0	一般士兵所用的轻型头盔	0	0	0	0	2	2	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
