编号	名字	等级需求	光影等级	图标	品质	金币	元宝	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	装备类型	物理防御	魔法防御	闪避	移动时间增加	格档	附加物理防御	附加魔法防御	物防加成（等级）	物防加成（强壮）	物防加成（敏捷）	物防加成（智慧）	魔防加成（等级）	魔防加成（强壮）	魔防加成（敏捷）	魔防加成（智慧）	附加生命上限	附加魔法上限
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	eType	physicalDefense	magicDefense	evadingAbility	stepTime	withstandingRate	extraPhysicalDefense	extraMagicDefense	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	lifeRaised	manaRaised
1142000200	轻型小盾·战士	12	0	1	0	500	0	一般士兵所用的盾牌	500	0	0	0	2	4	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	60	0
1142000201	轻型小盾·战士+1	12	0	1	0	500	0	一般士兵所用的盾牌	600	0	0	0	2	4	7	7	0	0	1	0	0	0	0	0	0	0	0	0	0	65	0
1142000202	轻型小盾·战士+2	12	0	1	0	500	0	一般士兵所用的盾牌	700	0	0	0	2	4	9	9	0	0	1	0	0	0	0	0	0	0	0	0	0	70	0
1142000203	轻型小盾·战士+3	12	0	1	0	500	0	一般士兵所用的盾牌	800	10000	500	0	2	4	11	11	0	0	1	0	0	0	0	0	0	0	0	0	0	75	0
1142000204	轻型小盾·战士+4	12	0	1	0	500	0	一般士兵所用的盾牌	900	10000	500	0	2	4	13	13	0	0	1	0	0	0	0	0	0	0	0	0	0	80	0
1142000205	轻型小盾·战士+5	12	0	1	0	500	0	一般士兵所用的盾牌	1000	10000	500	0	2	4	15	15	0	0	1	0	0	0	0	0	0	0	0	0	0	85	0
1142000206	轻型小盾·战士+6	12	0	1	0	500	0	一般士兵所用的盾牌	1100	10000	500	0	2	4	17	17	0	0	1	0	0	0	0	0	0	0	0	0	0	90	0
1142000207	轻型小盾·战士+7	12	0	1	0	500	0	一般士兵所用的盾牌	1200	10000	500	0	2	4	19	19	0	0	1	0	0	0	0	0	0	0	0	0	0	95	0
1142000208	轻型小盾·战士+8	12	0	1	0	500	0	一般士兵所用的盾牌	1300	10000	500	0	2	4	21	21	0	0	1	0	0	0	0	0	0	0	0	0	0	100	0
1142000209	轻型小盾·战士+9	12	0	1	0	500	0	一般士兵所用的盾牌	1400	10000	500	0	2	4	23	23	0	0	1	0	0	0	0	0	0	0	0	0	0	105	0
1142000210	轻型小盾·战士+10	12	0	1	0	500	0	一般士兵所用的盾牌	0	10000	500	0	2	4	25	25	0	0	1	0	0	0	0	0	0	0	0	0	0	110	0
1142010200	精品轻型小盾·战士	12	0	1	1	500	0	一般士兵所用的盾牌	500	0	0	0	2	4	5	5	0	0	1	1	1	0	0	0	0	0	0	0	0	60	0
1142010201	精品轻型小盾·战士+1	12	0	1	1	500	0	一般士兵所用的盾牌	600	0	0	0	2	4	7	7	0	0	1	2	2	0	0	0	0	0	0	0	0	65	0
1142010202	精品轻型小盾·战士+2	12	0	1	1	500	0	一般士兵所用的盾牌	700	0	0	0	2	4	9	9	0	0	1	3	3	0	0	0	0	0	0	0	0	70	0
1142010203	精品轻型小盾·战士+3	12	1	1	1	500	0	一般士兵所用的盾牌	800	0	0	0	2	4	11	11	0	0	1	3	3	0	0	0	0	0	0	0	0	75	0
