编号	名字	目标物品编号1	合成几率	目标物品编号2	合成几率	目标物品编号3	合成几率	材料1编号	材料2编号	材料3编号	材料4编号	材料5编号	合成经费
id	name	targetGoods	rates	targetGoods	rates	targetGoods	rates	materials	materials	materials	materials	materials	poundage
10001	黄金长弓	1210000700	88	1210010700	98	1210020700	100	1433000201	1433000101	1433000701	0	0	20000
10002	水晶弓	1210000800	88	1210010800	98	1210020800	100	1433000202	1433000102	1433000702	0	0	30000
10003	穿云弓	1210000900	88	1210010900	98	1210020900	100	1433000203	1433000103	1433000703	0	0	40000
10004	狩猎长弓	1210001000	88	1210011000	98	1210021000	100	1433000204	1433000104	1433000704	0	0	60000
10005	射日长弓	1210001100	88	1210011100	98	1210021100	100	1433000205	1433000105	1433000705	0	0	80000
10006	聚岭杖	1221000700	88	1221010700	98	1221020700	100	1433000101	1433000301	1433000601	0	0	20000
10007	符文杖	1221000800	88	1221010800	98	1221020800	100	1433000102	1433000302	1433000602	0	0	30000
10008	圣光之杖	1221000900	88	1221010900	98	1221020900	100	1433000103	1433000303	1433000603	0	0	40000
10009	虚幻之杖	1221001000	88	1221011000	98	1221021000	100	1433000104	1433000304	1433000604	0	0	60000
10010	天河之杖	1221001100	88	1221011100	98	1221021100	100	1433000105	1433000305	1433000605	0	0	80000
10011	尖啸之剑	1232000700	88	1232010700	98	1232020700	100	1433000201	1433000301	1433000701	0	0	20000
10012	修罗之剑	1232000800	88	1232010800	98	1232020800	100	1433000202	1433000302	1433000702	0	0	30000
10013	血腥之剑	1232000900	88	1232010900	98	1232020900	100	1433000203	1433000303	1433000703	0	0	40000
10014	惩戒之剑	1232001000	88	1232011000	98	1232021000	100	1433000204	1433000304	1433000704	0	0	60000
10015	逆天之剑	1232001100	88	1232011100	98	1232021100	100	1433000205	1433000305	1433000705	0	0	80000
10016	胜利之盾	1142000700	88	1142010700	98	1142020700	100	1433000201	1433000101	1433000301	0	0	20000
10017	狂暴之盾	1142000800	88	1142010800	98	1142020800	100	1433000202	1433000102	1433000302	0	0	30000
10018	力量之盾	1142000900	88	1142010900	98	1142020900	100	1433000203	1433000103	1433000303	0	0	40000
10019	鬼泣之盾	1142001000	88	1142011000	98	1142021000	100	1433000204	1433000104	1433000304	0	0	60000
10020	毁灭之盾	1142001100	88	1142011100	98	1142021100	100	1433000205	1433000105	1433000305	0	0	80000
10021	荣誉铠甲	1112000700	88	1112010700	98	1112020700	100	1433000201	1433000301	1433000601	0	0	20000
10022	狂暴铠甲	1112000800	88	1112010800	98	1112020800	100	1433000202	1433000302	1433000602	0	0	30000
10023	力量铠甲	1112000900	88	1112010900	98	1112020900	100	1433000203	1433000303	1433000603	0	0	40000
10024	鬼泣铠甲	1112001000	88	1112011000	98	1112021000	100	1433000204	1433000304	1433000604	0	0	60000
10025	毁灭铠甲	1112001100	88	1112011100	98	1112021100	100	1433000205	1433000305	1433000605	0	0	80000
10026	天鹰皮甲	1110000700	88	1110010700	98	1110020700	100	1433000301	1433000501	1433000701	0	0	20000
10027	穿云皮甲	1110000800	88	1110010800	98	1110020800	100	1433000302	1433000502	1433000702	0	0	30000
