编号	名字	装备需求等级	装备冲等等级	装备类型	冲等成功几率	跳级几率	降1级几率	降2级几率	降2级几率	降到0级几率	销毁几率
id	name	requiredLevel	increaseLevel	eType	successRate	skipRate	failRate1	failRate2	failRate3	failRate4	failRate5
20020	12级01	12	0	0	95	100	-1	-1	-1	10000	-1
20021	12级12	12	1	0	85	100	-1	-1	-1	10000	-1
20022	12级23	12	2	0	75	80	3000	3000	3000	10000	-1
20023	12级34	12	3	0	60	60	2000	5000	5000	10000	-1
20024	12级45	12	4	0	45	40	1000	3000	5000	9000	-1
20025	12级56	12	5	0	35	20	1000	3000	5000	9000	-1
20026	12级67	12	6	0	25	10	1000	3000	5000	9000	-1
20027	12级78	12	7	0	15	5	1000	3000	5000	9000	-1
20028	12级89	12	8	0	5	2	1000	3000	5000	9000	-1
20029	12级910	12	9	0	1	0	1000	3000	5000	9000	-1
20030	24级01	24	0	0	95	100	-1	-1	-1	10000	-1
20031	24级12	24	1	0	85	100	-1	-1	-1	10000	-1
20032	24级23	24	2	0	75	80	3000	3000	3000	10000	-1
20033	24级34	24	3	0	60	60	2000	5000	5000	9000	-1
20034	24级45	24	4	0	45	40	1000	3000	5000	9000	-1
20035	24级56	24	5	0	35	20	1000	3000	5000	9000	-1
20036	24级67	24	6	0	25	10	1000	3000	5000	9000	-1
20037	24级78	24	7	0	15	5	1000	3000	5000	9000	-1
20038	24级89	24	8	0	5	2	1000	3000	5000	9000	-1
20039	24级910	24	9	0	1	0	1000	3000	5000	9000	-1
20040	36级01	36	0	0	95	100	-1	-1	-1	10000	-1
20041	36级12	36	1	0	85	80	-1	-1	-1	10000	-1
20042	36级23	36	2	0	75	60	3000	3000	3000	10000	-1
20043	36级34	36	3	0	60	40	2000	5000	5000	9000	-1
20044	36级45	36	4	0	45	20	1000	3000	5000	9000	-1
20045	36级56	36	5	0	35	10	1000	2500	4500	9000	-1
20046	36级67	36	6	0	25	5	1000	2500	4000	9000	-1
20047	36级78	36	7	0	15	2	1000	2000	3500	9000	-1
20048	36级89	36	8	0	5	2	500	1500	3000	9000	-1
20049	36级910	36	9	0	1	0	500	1500	2500	9000	-1
20050	48级01	48	0	0	95	100	-1	-1	-1	10000	-1
20051	48级12	48	1	0	85	80	-1	-1	-1	10000	-1
20052	48级23	48	2	0	75	60	3000	3000	3000	10000	-1
20053	48级34	48	3	0	60	40	2000	5000	5000	9000	-1
20054	48级45	48	4	0	45	20	1000	3000	5000	9000	-1
20055	48级56	48	5	0	35	10	1000	2500	4500	9000	-1
20056	48级67	48	6	0	25	5	1000	2500	4000	9000	-1
20057	48级78	48	7	0	15	2	1000	2000	3500	9000	-1
20058	48级89	48	8	0	5	2	500	1500	3000	9000	-1
20059	48级910	48	9	0	1	0	500	1500	2500	9000	-1
20060	60级01	60	0	0	95	80	-1	-1	-1	10000	-1
20061	60级12	60	1	0	85	60	-1	-1	-1	10000	-1
20062	60级23	60	2	0	75	40	3000	3000	3000	10000	-1
20063	60级34	60	3	0	60	20	2000	5000	5000	8000	-1
20064	60级45	60	4	0	45	10	1000	3000	5000	8000	-1
20065	60级56	60	5	0	35	5	1000	2500	4500	8000	-1
20066	60级67	60	6	0	25	2	1000	2500	4000	8000	-1
20067	60级78	60	7	0	15	2	1000	2000	3500	8000	-1
20068	60级89	60	8	0	5	2	500	1500	3000	8000	-1
20069	60级910	60	9	0	1	0	500	1500	2500	8000	-1
20070	72级01	72	0	0	95	60	-1	-1	-1	10000	-1
20071	72级12	72	1	0	85	40	-1	-1	-1	8000	-1
20072	72级23	72	2	0	75	20	2000	2000	2000	8000	-1
20073	72级34	72	3	0	60	10	2000	5000	5000	8000	-1
20074	72级45	72	4	0	45	5	1000	3000	5000	8000	-1
20075	72级56	72	5	0	35	2	1000	2500	4500	7500	-1
20076	72级67	72	6	0	25	2	1000	2500	4000	7000	-1
20077	72级78	72	7	0	15	2	1000	2000	3500	6500	-1
20078	72级89	72	8	0	5	2	500	1500	3000	6000	-1
20079	72级910	72	9	0	1	0	500	1500	2500	5500	-1
