编号	名字	等级需求	转生需求	图标	品质	可否交易	可否丢弃	可否出售	金币	元宝	描述	升等费用	精炼费用	升级费用	套装编号	套装功能1	套装参数1	套装功能2	套装参数2	套装功能3	套装参数3	套装功能4	套装参数4	装备类型	增加生命	增加魔法	生命恢复速度增加	魔法恢复速度增加	物理防御能力	魔法防御能力	附加物理防御力	附加魔法防御力	产生暴击几率	命中	闪避	攻击附加状态	状态产生几率	获得经验提升百分比	获得金钱倍数提升百分比	物品掉落提升百分比	附加特殊能力
id	name	requiredLevel	requiredTurn	icon	quality	tradable	dropable	soldable	moneyCost	treasureCost	description	increaseCost	refineCost	upgradeCost	suitID	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	dType	lifeRaised	manaRaised	lifeRestoreRate	manaRestoreRate	physicalDefense	magicDefense	extraPhysicalDefense	extraMagicDefense	doubleDamageRate	hittingAbility	evadingAbility	attachedFightState	fightStateRate	expLuck	moneyLuck	goodsLuck	specialAbility
1743050100	激斗耳环	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1200	0	0	401	8	3	6	10	0	0	0	0	1	0	55	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
1743050101	激斗耳环+1	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1400	0	0	401	8	4	6	14	0	0	0	0	1	0	65	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
1743050102	激斗耳环+2	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1600	0	0	401	8	5	6	18	0	0	0	0	1	0	75	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
1743050103	激斗耳环+3	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1800	0	0	401	8	6	6	22	0	0	0	0	1	0	85	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
1743050104	激斗耳环+4	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	2000	0	0	401	8	7	6	26	0	0	0	0	1	0	95	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
1743050105	激斗耳环+5	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	0	0	0	401	8	8	6	30	0	0	0	0	1	0	105	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
1753050100	激斗项链	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1200	0	0	401	8	3	9	3	0	0	0	0	2	0	0	1	1	0	0	0	0	0	5	3	0	0	0	0	0	0
1753050101	激斗项链+1	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1400	0	0	401	8	4	9	4	0	0	0	0	2	0	0	1	1	0	0	0	0	0	6	4	0	0	0	0	0	0
1753050102	激斗项链+2	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1600	0	0	401	8	5	9	5	0	0	0	0	2	0	0	1	1	0	0	0	0	0	7	5	0	0	0	0	0	0
1753050103	激斗项链+3	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	1800	0	0	401	8	6	9	6	0	0	0	0	2	0	0	2	1	0	0	0	0	0	8	6	0	0	0	0	0	0
1753050104	激斗项链+4	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	2000	0	0	401	8	7	9	7	0	0	0	0	2	0	0	2	2	0	0	0	0	0	9	7	0	0	0	0	0	0
1753050105	激斗项链+5	30	1	3	5	1	1	1	1	0	斗者，怒火攻心	0	0	0	401	8	8	9	8	0	0	0	0	2	0	0	2	2	0	0	0	0	0	10	8	0	0	0	0	0	0
