编号	名字	图像	游戏币价格	元宝价格	品质	简介	档次（原材料、合成材料）	合成后材料编号	等级	升级后材料编号	升级成功几率	手续费	特殊用途
id	name	icon	moneyCost	treasureCost	quality	description	grade	nextGradeID	level	nextLevelID	upgradeRate	poundage	function
1433000101	一级木头	20	0	10000	0	一级木头，用于合成；两个一级木头可以合成二级木头	1	0	1	1433000102	80	2500	0
1433000102	二级木头	20	0	10000	1	二级木头，用于合成；两个二级木头可以合成三级木头	1	0	2	1433000103	70	5000	0
1433000103	三级木头	20	0	10000	2	三级木头，用于合成；两个三级木头可以合成四级木头	1	0	3	1433000104	55	10000	0
1433000104	四级木头	20	0	10000	3	四级木头，用于合成；两个四级木头可以合成五级木头	1	0	4	1433000105	35	20000	0
1433000105	五级木头	20	0	10000	4	五级木头，用于合成	1	0	5	0	0	0	0
1433000201	一级金属	6	0	10000	0	一级金属，用于合成；两个一级金属可以合成二级金属	1	0	1	1433000202	80	2500	0
1433000202	二级金属	6	0	10000	1	二级金属，用于合成；两个二级金属可以合成三级木头	1	0	2	1433000203	70	5000	0
1433000203	三级金属	6	0	10000	2	三级金属，用于合成；两个三级金属可以合成四级金属	1	0	3	1433000204	55	10000	0
1433000204	四级金属	6	0	10000	3	四级金属，用于合成；两个四级金属可以合成五级金属	1	0	4	1433000205	35	20000	0
1433000205	五级金属	6	0	10000	4	五级金属，用于合成	1	0	5	0	0	0	0
1433000301	一级皮料	15	0	10000	0	一级皮料，用于合成；两个一级皮料可以合成二级皮料	1	0	1	1433000302	80	2500	0
1433000302	二级皮料	15	0	10000	1	二级皮料，用于合成；两个二级皮料可以合成三级皮料	1	0	2	1433000303	70	5000	0
1433000303	三级皮料	15	0	10000	2	三级皮料，用于合成；两个三级皮料可以合成四级皮料	1	0	3	1433000304	55	10000	0
1433000304	四级皮料	15	0	10000	3	四级皮料，用于合成；两个四级皮料可以合成五级皮料	1	0	4	1433000305	35	20000	0
1433000305	五级皮料	15	0	10000	4	五级皮料，用于合成	1	0	5	0	0	0	0
1433000401	一级布料	1	0	10000	0	一级布料，用于合成；两个一级布料可以合成二级布料	1	0	1	1433000402	80	2500	0
1433000402	二级布料	1	0	10000	1	二级布料，用于合成；两个二级布料可以合成三级布料	1	0	2	1433000403	70	5000	0
1433000403	三级布料	1	0	10000	2	三级布料，用于合成；两个三级布料可以合成四级布料	1	0	3	1433000404	55	10000	0
1433000404	四级布料	1	0	10000	3	四级布料，用于合成；两个四级布料可以合成五级布料	1	0	4	1433000405	35	20000	0
1433000405	五级布料	1	0	10000	4	五级布料，用于合成	1	0	5	0	0	0	0
1433000501	一级麻料	27	0	10000	0	一级麻料，用于合成；两个一级麻料可以合成二级麻料	1	0	1	1433000502	80	2500	0
1433000502	二级麻料	27	0	10000	1	二级麻料，用于合成；两个二级麻料可以合成三级麻料	1	0	2	1433000503	70	5000	0
1433000503	三级麻料	27	0	10000	2	三级麻料，用于合成；两个三级麻料可以合成四级麻料	1	0	3	1433000504	55	10000	0
1433000504	四级麻料	27	0	10000	3	四级麻料，用于合成；两个四级麻料可以合成五级麻料	1	0	4	1433000505	35	20000	0
1433000505	五级麻料	27	0	10000	4	五级麻料，用于合成	1	0	5	0	0	0	0
1433000601	一级宝石	8	0	10000	0	一级宝石，用于合成；两个一级宝石可以合成二级宝石	1	0	1	1433000602	80	2500	0
1433000602	二级宝石	8	0	10000	1	二级宝石，用于合成；两个二级宝石可以合成三级宝石	1	0	2	1433000603	70	5000	0
1433000603	三级宝石	8	0	10000	2	三级宝石，用于合成；两个三级宝石可以合成四级宝石	1	0	3	1433000604	55	10000	0
1433000604	四级宝石	8	0	10000	3	四级宝石，用于合成；两个四级宝石可以合成五级宝石	1	0	4	1433000605	35	20000	0
1433000605	五级宝石	8	0	10000	4	五级宝石，用于合成	1	0	5	0	0	0	0
1433000701	一级植物纤维	40	0	10000	0	一级植物纤维，用于合成；两个一级植物纤维可以合成二级植物纤维	1	0	1	1433000702	80	2500	0
1433000702	二级植物纤维	40	0	10000	1	二级植物纤维，用于合成；两个二级植物纤维可以合成三级植物纤维	1	0	2	1433000703	70	5000	0
1433000703	三级植物纤维	40	0	10000	2	三级植物纤维，用于合成；两个三级植物纤维可以合成四级植物纤维	1	0	3	1433000704	55	10000	0
1433000704	四级植物纤维	40	0	10000	3	四级植物纤维，用于合成；两个四级植物纤维可以合成五级植物纤维	1	0	4	1433000705	35	20000	0
1433000705	五级植物纤维	40	0	10000	4	五级植物纤维，用于合成	1	0	5	0	0	0	0
1433000801	一级天晶石	41	0	1000	0	一级天晶石，用于36级前的装备冲等；两个一级天晶石可以合成二级天晶石	1	0	1	1433000802	80	2500	1
1433000802	二级天晶石	41	0	1000	1	二级天晶石，用于60级前的装备冲等；两个二级天晶石可以合成三级天晶石	1	0	2	1433000803	70	10000	1
1433000803	三级天晶石	41	0	1000	2	三级天晶石，用于84级前的装备冲等；两个三级天晶石可以合成四级天晶石	1	0	3	1433000804	55	25000	1
1433000804	四级天晶石	41	0	1000	3	四级天晶石，用于108级前的装备冲等；两个四级天晶石可以合成五级天晶石	1	0	4	1433000809	35	40000	1
1433000809	天晶石	41	0	1000	4	五级天晶石，用于所有等级的装备冲等	1	0	5	0	0	0	1
1433000901	一级金刚石	23	0	10000	0	一级金刚石，用于36级前的装备精炼；两个一级金刚石可以合成二级金刚石	1	0	1	1433000902	80	2500	2
1433000902	二级金刚石	23	0	10000	1	二级金刚石，用于60级前的装备精炼；两个二级金刚石可以合成三级金刚石	1	0	2	1433000903	70	10000	2
1433000903	三级金刚石	23	0	10000	2	三级金刚石，用于84级前的装备精炼；两个三级金刚石可以合成四级金刚石	1	0	3	1433000904	55	25000	2
1433000904	四级金刚石	23	0	10000	3	四级金刚石，用于108级前的装备精炼；两个四级金刚石可以合成五级金刚石	1	0	4	1433000909	35	40000	2
1433000909	五级金刚石	23	0	10000	4	五级金刚石，用于所有等级的装备精炼	1	0	5	0	0	0	2
1433001001	红玛瑙	21	0	10000	0	珍稀的红玛瑙，用于白装到绿装的精炼	2	0	0	0	0	0	3
1433001002	月亮石	39	0	10000	1	珍稀的月亮石，用于绿装到蓝装的精炼	2	0	0	0	0	0	3
1433001003	紫水晶	9	0	10000	2	珍稀的紫水晶，用于蓝装到紫装的精炼	2	0	0	0	0	0	3
1433001004	琥珀石	10	0	10000	3	珍稀的琥珀石，用于紫装到橙装的精炼	2	0	0	0	0	0	3
1433001101	千年古木	26	0	10000	5	难得一见的千年古木，用于合成30级套装武器	2	0	0	0	0	0	0
1433001102	稀有兽皮	25	0	10000	5	稀有的巨兽皮，用于合成30级套装装备	2	0	0	0	0	0	0
1433001103	水晶颗粒	22	0	10000	5	晶莹的水晶颗粒，用于合成60级套装武器	2	0	0	0	0	0	0
1433001104	珍贵丝绸	2	0	10000	5	名地出产的丝绸，用于合成60级套装装备	2	0	0	0	0	0	0
1433001105	邪恶之眼	28	0	10000	5	邪恶者的眼球，用于合成85级套装武器	2	0	0	0	0	0	0
1433001106	火焰花	29	0	10000	5	火红色的花朵，用于合成85级套装装备	2	0	0	0	0	0	0
1433001107	树妖果实	30	0	10000	5	千年树妖的果实，用于合成110级套装武器	2	0	0	0	0	0	0
1433001108	斗士图腾	31	0	10000	5	百战斗士的图腾，用于合成110级套装装备	2	0	0	0	0	0	0
1433001109	元素之火	32	0	10000	5	元素的火焰，用于合成130级套装武器	2	0	0	0	0	0	0
1433001110	恶魔之角	33	0	10000	5	恶魔头上的尖角，用于合成130级套装装备	2	0	0	0	0	0	0
1433001111	火凤之羽	34	0	10000	5	火凤凰的羽毛	2	0	0	0	0	0	0
1433001112	巨龙鳞片	35	0	10000	5	巨龙的鳞片	2	0	0	0	0	0	0
1433001113	幸运星	36	0	10000	5	带来幸运的星星，用于合成30级套装首饰	2	0	0	0	0	0	0
1433001114	三叶草	37	0	10000	5	幸运的三叶草，用于合成80级套装首饰	2	0	0	0	0	0	0
1433001116	转生纹章·一	38	0	200	0	用于合成血精的印记的必备物品	2	0	0	0	0	0	0
1433001117	转生纹章·二	38	0	200	0	用于合成血精的印记的必备物品	2	0	0	0	0	0	0
1433001118	转生纹章·三	38	0	200	0	用于合成血精的印记的必备物品	2	0	0	0	0	0	0
1433001115	庇佑纹章	38	0	200	0	有神庇佑的纹章，用于合成130级套装首饰	2	0	0	0	0	0	0
1433001119	兽王血脉	25	0	0	0	用于合成终极武器的必备物品	2	0	0	0	0	0	0
1433001120	远古气息	22	0	0	0	用于合成终极武器的必备物品	2	0	0	0	0	0	0
1433001123	远古火凤之羽	34	0	0	0	用于合成进阶终极武器	2	0	0	0	0	0	0
1433001124	远古巨龙之鳞	26	0	0	0	用于合成进阶终极武器	2	0	0	0	0	0	0
1433001125	残留的远古碎片	26	0	0	0	用于合成远古材料	2	0	0	0	0	0	0
1433001122	璀璨的精华	26	0	0	0	由终极武器淬炼而成，用于合成进阶终极武器	2	0	0	0	0	0	0
1433001121	黎明光辉	32	0	0	0	用于合成终极武器的必备物品	2	0	0	0	0	0	0
