编号	名字	图像	游戏币单价	元宝单价	品质	恢复生命值	恢复魔法值	使用次数	时间间隔	描述
id	name	icon	moneyCost	treasureCost	quality	lifeCured	manaCured	useCount	delayTime	description
1313000100	治疗药水（小）	1	20	0	0	40	0	8	800	每0.8秒回复40的生命，总回复320的生命
1313000200	治疗药水（中）	2	100	0	0	100	0	8	800	每0.8秒回复100的生命，总回复800的生命
1313000300	治疗药水（大）	3	250	0	0	200	0	8	800	每0.8秒回复200的生命，总回复1600的生命
1313000400	治疗药水（特大）	4	500	0	0	300	0	8	800	每0.8秒回复300的生命，总回复2400的生命
1313000500	特效治疗药水	9	2000	0	0	1000	0	1	0	使用后瞬间恢复1000生命
1313001100	魔法药水（小）	5	15	0	0	0	30	6	800	每0.8秒回复30的生命，总回复180的生命
1313001200	魔法药水（中）	6	80	0	0	0	80	6	800	每0.8秒回复80的生命，总回复480的生命
1313001300	魔法药水（大）	7	200	0	0	0	160	6	800	每0.8秒回复160的生命，总回复960的生命
1313001400	魔法药水（特大）	8	400	0	0	0	240	6	800	每0.8秒回复240的生命，总回复1440的生命
1313001500	特效魔法药水	10	1600	0	0	0	1000	1	0	使用后瞬间恢复1000魔法
1313002300	大型恢复剂	11	0	1	0	4000	4000	1	800	使用后恢复大量生命和魔法
1313002400	特效恢复剂	12	0	2	0	10000	10000	1	0	使用后恢复10000生命和魔法
1313002500	治疗药水（高级）	15	1400	0	0	500	0	8	800	每0.8秒回复500的生命，总回复4000的生命
1313002600	治疗药水（特级）	16	2500	0	0	700	0	8	800	每0.8秒回复700的生命，总回复5600的生命
1313002700	魔法药水（高级）	13	1200	0	0	0	500	8	800	每0.8秒回复500的魔法，总回复4000的魔法
1313002800	魔法药水（特级）	14	1500	0	0	0	700	8	800	每0.8秒回复500的生命，总回复4000的生命
1313002900	恢复剂（高级）	11	3000	0	0	2000	2000	1	0	使用后恢复少量生命和魔法
1313003100	恢复剂（特级）	12	4500	0	0	3200	3200	1	0	使用后恢复大量生命和魔法
