编号	名字	初始是否激活	激活条件-场景时间	激活条件-场景玩家数	激活条件-怪物死亡计数	复活时间下限	复活时间上限	复活地点范围	可复活次数	复活后发布公告范围(0不公告、1场景公告、2世界公告)	复活公告文本	前进目标位置X	前进目标位置Y	目标区域	随机移动范围	随机移动间隔	主动攻击范围	索敌时间	索敌成功几率	攻击对象PK值优先	攻击对象距离优先	攻击对象等级优先	攻击对象生命优先	攻击对象种族优先	还击时间	在该范围内战斗	飞到目标跟前战斗	超出范围是否飞回	返回途中是否战斗	受攻击时考虑改变攻击目标	超出攻击范围时考虑改变目标	超出攻击范围是否追击	最大追击步数	当生命少于该比例使用治疗技能	使用治疗性技能的几率	治疗性技能编号	使用技能攻击的几率	重复使用攻击技能的几率	攻击技能1	使用技能1的几率	使用技能1的生命条件	技能1的优先选择目标类型	攻击技能2	使用技能2的几率	使用技能2的生命条件	技能2的优先选择目标类型	攻击技能3	使用技能3的几率	使用技能3的生命条件	技能3的优先选择目标类型	攻击技能4	使用技能4的几率	使用技能4的生命条件	技能4的优先选择目标类型	攻击技能5	使用技能5的几率	使用技能5的生命条件	技能5的优先选择目标类型	死亡后计数值	生命少于该值逃跑	受伤害高于该值逃跑	逃跑距离	自动治疗时间间隔	治疗比例(百分比)	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	免疫状态编号	免疫成功机率	是否开启仇恨记录	攻击目标仇恨优先值	对游侠的仇恨系数	对法师的仇恨系数	对战士的仇恨系数	对近身攻击的仇恨加权系数	对远程攻击的仇恨加权系数	被魔法攻击的仇恨加权系数	被物理攻击的仇恨加权系数
id	name	initialAliveness	activationSceneTime	activationHeroCount	activationDeathCount	minReliveDelay	maxReliveDelay	reliveRange	maxReliveTimes	noticeRangeOnRelived	wordsOfNotice	moveDestX	moveDestY	destRange	randomMoveRange	randomMoveDelay	searchRange	searchDelay	lockTargetRate	preferredPKValue	preferredDistance	preferredLevel	preferredLife	preferredRace	hurtResponseDelay	fightRange	flyToTarget	flyToOrigin	fightOnReturn	changeTargetOnHurt	changeTragetOnAway	tracingTargetOnAway	maxTracingSteps	useCureSpellLifeRate	useCureSpellRate	cureSpell	rateOfUsingSpellToAttack	rateOfRepeatingSpell	attackSpells	useAttackSpellRates	lifeRatesOfUsingSpell	spellTargetPriorities	attackSpells	useAttackSpellRates	lifeRatesOfUsingSpell	spellTargetPriorities	attackSpells	useAttackSpellRates	lifeRatesOfUsingSpell	spellTargetPriorities	attackSpells	useAttackSpellRates	lifeRatesOfUsingSpell	spellTargetPriorities	attackSpells	useAttackSpellRates	lifeRatesOfUsingSpell	spellTargetPriorities	deathCounterValue	escapeMinLife	escapeMaxHurt	escapeRange	autoCureDelay	cureRate	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	statesResistance	resistanceRates	enmityEnabled	enemyPriority	elfEnmityFactor	manEnmityFactor	orcEnmityFactor	nearDamageEnmityFactor	remoteDamageEnmityFactor	magicDamageEnmityFactor	physicalDamageEnmityFactor
80000001	被动攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	9999	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000002	记仇被动攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	9999	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000003	3格主动攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	3	4000	60	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000004	3格记仇攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	3	4000	60	0	1	0	0	2	800	10	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000005	5格主动攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	5	3000	70	0	1	0	0	2	800	10	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000006	5格记仇攻击怪物	1	0	0	0	30000	60000	3	99999999	0	0	0	0	0	5	5000	5	3000	80	0	1	0	0	2	800	10	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000007	小BOSS	1	0	0	0	1500000	1800000	3	99999999	0	0	0	0	0	20	3000	7	0	100	0	1	0	1	2	800	20	0	1	0	1	1	1	9999	0	0	0	50	5	95110451	50	100	1	95110453	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000008	高BOSS	1	0	0	0	600000	18000000	10	99999999	0	0	0	0	0	10	3000	7	0	100	0	1	0	0	2	800	20	0	1	0	1	0	1	9999	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80000009	肉肉	1	0	0	0	10000	30000	0	99999999	0	0	0	0	0	5	5000	0	0	0	0	0	0	0	2	800	10	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	8	3000	0	850001	100	850004	100	850005	100	850016	100	850017	100	850019	100	851001	100	851002	100	851003	100	0	0	0	0	0	0	0	0	0	0	0
