编号	名字	图象	颜色	等级	怪物种类	攻击范围	最大生命	最小物理攻击力	最大物理攻击力	最小魔法攻击力	最大魔法攻击力	物理防御	魔法防御	命中	闪避	移动速度	移动间隔	攻击时间	攻击间隔	远程攻击特效类型	简介
id	name	image	color	level	grade	attackRange	maxLife	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	physicalDefense	magicDefense	hittingAbility	evadingAbility	stepTime	moveDelay	attackTime	attackDelay	flyerType	description
60000001	远古老鼠	2	0	1	0	1	109	5	12	0	0	3	3	12	4	700	200	1000	700	0	远古隧道中的老鼠，受到黑暗魔力的侵袭现在变成了黑暗生物。竟然猖狂的大量的冲出隧道，袭击法洛斯居民。
60000002	远古老鼠	2	0	3	0	1	189	9	22	0	0	15	13	12	4	700	200	1000	700	0	远古隧道中的老鼠，受到黑暗魔力的侵袭现在变成了黑暗生物。竟然猖狂的大量的冲出隧道，袭击法洛斯居民。
60000003	多目怪	8	0	5	0	5	276	0	0	13	30	28	24	13	4	700	200	1000	700	6	多目怪是魔族忠实的仆人，独自在野外行走的旅人常常会受到来自多目怪的袭击，那仿佛来自地狱的身影，拥有远距离杀伤的能力，它们疯狂的袭击人类得到人类的鲜血来增强它们的力量。
60000004	多目怪	8	0	7	0	5	346	0	0	17	41	40	34	13	4	700	200	1000	700	6	多目怪是魔族忠实的仆人，独自在野外行走的旅人常常会受到来自多目怪的袭击，那仿佛来自地狱的身影，拥有远距离杀伤的能力，它们疯狂的袭击人类得到人类的鲜血来增强它们的力量。
60000005	蝎子	40	0	9	0	1	424	25	54	0	0	53	45	18	6	700	200	1000	700	0	这些只靠本能活动的小生物有时候是致命的，特别是当你忽略它的时候
60000006	蝎子	40	0	11	0	1	649	28	60	0	0	65	56	18	6	700	200	1000	700	0	这些只靠本能活动的小生物有时候是致命的，特别是当你忽略它的时候
60000007	海星星	35	0	13	0	4	810	0	0	32	69	77	66	18	6	700	200	1000	700	5	别被它可爱的外表迷惑，如果你惹怒它它一样很恐怖
60000008	海星星	35	0	15	0	4	892	0	0	39	84	90	76	20	7	700	200	1000	700	5	别被它可爱的外表迷惑，如果你惹怒它它一样很恐怖
60000009	跳蚤	7	0	17	0	1	1000	51	107	0	0	101	87	24	8	700	200	1000	700	0	这些跳蚤在魔力的冲击下已经晋升为魔物，看它们现在的体型你就不会怀疑我的定位
60000010	跳蚤	7	0	19	0	1	1167	57	118	0	0	114	97	26	8	700	200	1000	700	0	这些跳蚤在魔力的冲击下已经晋升为魔物，看它们现在的体型你就不会怀疑我的定位
60000011	野蛮人	3	0	21	0	1	1548	63	128	0	0	126	108	26	8	700	200	1000	700	0	到处都有一些没有开化的人群，但是这一群崇尚暴力
60000012	野蛮人	3	0	23	0	1	1660	71	145	0	0	138	119	26	8	700	200	1000	600	0	到处都有一些没有开化的人群，但是这一群崇尚暴力
