编号	名字	初始可见性	持续时间(秒)	场景创建一定时间后出现(秒)	玩家到达一定数量后出现	怪物死亡计数到达数量后出现	每天固定时间出现(时分)	每星期出现的时间(星期时分)	每月出现的时间（日期时分)	精确出现时间(年月日时分)	出现的坐标X	出现的坐标Y	出现的区域半径	刷新坐标的时间(秒)	出现时的场景提示信息
id	name	initialVisibility	visibleTimeLast	appearanceSceneTime	appearanceHeroCount	appearanceDeathCount	appearanceDailyTime	appearanceWeaklyTime	appearanceMonthlyTime	appearanceUniqueTime	appearancePosX	appearancePosY	appearanceRegion	refreshPosTime	appearanceNotice
10002002	小狗哈巴	0	0	1	1	0	0	0	0	0	35	35	17	8	0
10002003	阿西娜	0	0	1	1	0	0	0	0	0	97	58	18	24	0
10002004	卡拉奇	0	0	1	1	0	0	0	0	0	74	45	18	24	0
10002005	谢里尔	0	0	1	1	0	0	0	0	0	30	52	18	24	0
10002006	克莱儿	0	0	1	1	0	0	0	0	0	72	102	18	24	0
10002007	奥德丽	0	0	1	1	0	0	0	0	0	90	83	18	24	0
10002008	艾琳	0	0	1	1	0	0	0	0	0	71	123	18	24	0
10002009	盖尔	0	0	1	1	0	0	0	0	0	80	102	18	24	0
10002010	胡尔达	0	0	1	1	0	0	0	0	0	54	73	18	24	0
10002011	多明尼卡	0	0	1	1	0	0	0	0	0	42	61	18	24	0
10002012	多洛雷斯	0	0	1	1	0	0	0	0	0	59	80	18	24	0
10002016	迷宫首相	0	60	1	1	0	0	0	0	0	23	15	2	5	0
10002017	迷宫使者	0	60	1	1	0	0	0	0	0	8	18	2	5	0
10002018	迷宫使者	0	60	1	1	0	0	0	0	0	37	18	1	5	0
10002019	迷宫使者	0	60	1	1	0	0	0	0	0	8	31	2	5	0
10002020	迷宫使者	0	60	1	1	0	0	0	0	0	37	32	2	5	0
10002021	迷宫使者	0	60	1	1	0	0	0	0	0	10	46	2	5	0
10002022	迷宫使者	0	60	1	1	0	0	0	0	0	35	45	2	5	0
10002023	领主-梵高	0	0	0	0	20000	0	0	0	0	40	17	0	0	"领主-梵高在（40，17）坐标出现了,大家快去找他交任务吧."
10002026	普罗·克洛托	0	7200	0	0	10	0	0	0	0	57	72	0	5	"“普罗·克洛托”在(57，72)坐标出现了,"
10002027	精灵公主艾丽斯	0	7200	0	0	10	0	0	0	0	57	74	0	5	"“精灵公主艾丽斯”在(57，74)坐标出现了,"
10002024	混战竞技管理员	0	900	0	0	0	2001	0	0	0	132	38	0	0	每日竞技大赛开放了，大家可以找夏基亚城的“混战竞技管理员”进入“混战竞技场”。
10002025	奖品发放专员	0	13500	0	0	0	2015	0	0	0	73	84	0	0	奖品发放专员在(73，84)坐标出现了
