编号	名字	级别	经验最小值	经验最大值	金钱最小值	金钱最大值	物品是否直接放入玩家背包	公共保护时间（秒）（无归属）	掉落药品数量	每个药品的几率	大爆几率	大爆百分比	品质1装备掉落数	品质1每个装备掉落几率	品质1武器掉落数	品质1每个武器掉落几率	品质2装备掉落数	品质2每个装备掉落几率	品质2武器掉落数	品质2每个武器掉落几率	品质3装备掉落数	品质3每个装备掉落几率	品质3武器掉落数	品质3每个武器掉落几率	品质4装备掉落数	品质4每个装备掉落几率	品质4武器掉落数	品质4每个武器掉落几率	品质5装备掉落数	品质5每个装备掉落几率	品质5武器掉落数	品质5每个武器掉落几率	附加物品编号1	附加物品几率1	附加物品编号2	附加物品几率2	附加物品编号11	附加物品几率11	附加物品编号12	附加物品几率12	附加物品编号3	附加物品几率3	附加物品编号4	附加物品几率4	附加物品编号5	附加物品几率5	附加物品编号6	附加物品几率6	附加物品编号7	附加物品几率7	附加物品编号8	附加物品几率8	附加物品编号9	附加物品几率9	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10	附加物品编号10	附加物品几率10
id	name	level	minExp	maxExp	minMoney	maxMoney	dropTopHeroDepot	goodsProtectionTime	medicineDropCount	medicineDropRate	bigDropRate	bigDropTimes	equipmentDropCounts	equipmentDropRates	weaponDropCounts	weaponDropRates	equipmentDropCounts	equipmentDropRates	weaponDropCounts	weaponDropRates	equipmentDropCounts	equipmentDropRates	weaponDropCounts	weaponDropRates	equipmentDropCounts	equipmentDropRates	weaponDropCounts	weaponDropRates	equipmentDropCounts	equipmentDropRates	weaponDropCounts	weaponDropRates	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate	extraGoodsID	extraGoodsRate
70000001	远古老鼠	1	20	30	4	5	0	0	0	0	1	3	1	400	1	200	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	1232000103	350	1221000103	350	1210000103	350	0	0	1333010100	700	1132000102	350	1131000102	350	1130000102	350	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000002	远古老鼠	3	20	30	9	11	0	0	0	0	1	3	1	400	1	200	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	1232000103	350	1221000103	350	1210000103	350	0	0	1333010100	700	1132000102	350	1131000102	350	1130000102	350	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000003	多目怪	5	22	32	14	18	0	0	0	0	1	3	1	125	1	65	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	1232000103	350	1221000103	350	1210000103	350	0	0	1333010200	700	1132000102	350	1131000102	350	1130000102	350	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000004	多目怪	7	24	34	20	24	0	0	0	0	1	3	1	125	1	65	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	1232000103	350	1221000103	350	1210000103	350	0	0	1333010200	700	1132000102	350	1131000102	350	1130000102	350	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000005	蝎子	9	26	36	25	31	0	0	0	0	1	3	1	125	1	65	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333030100	3	0	0	0	0	1333011300	700	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000006	蝎子	11	30	40	30	38	0	0	0	0	1	3	1	125	1	65	1	50	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333030100	3	0	0	0	0	1333011300	700	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000007	海星星	13	34	44	35	45	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333030100	3	0	0	0	0	1333011200	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000008	海星星	15	40	50	41	51	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030100	3	0	0	0	0	1333011200	700	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000009	跳蚤	17	46	56	46	58	0	0	0	0	1	3	1	100	1	41	1	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1333001800	2	1333030100	3	0	0	0	0	0	0	1433000801	50	1433000901	25	0	0	0	0	0	0	1333110001	20	0	0	1333100101	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433001001	3	1433001002	1	1333110001	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
