编号	名字	装备需求等级	装备品质	成功几率	成功后保留等级几率	成功后降到0级几率	成功后随机降级几率	失败后降级几率	失败后降到0级几率	失败后消失几率
id	name	requiredLevel	quality	successRate	keepLevelRate	clearLevelRate1	randomDropRate1	randomDropRate2	clearLevelRate2	destroyRate
10011	12级白绿	12	0	10000	1000	7000	10000	4000	9500	10000
10012	12级绿蓝	12	1	5000	1000	7000	10000	3500	9000	10000
10013	12级蓝紫	12	2	2500	500	8500	10000	2500	8000	10000
10014	12级紫橙	12	3	1000	100	9100	10000	500	6000	10000
10021	24级白绿	24	0	10000	1000	7000	10000	4000	9300	10000
10022	24级绿蓝	24	1	5000	1000	7000	10000	3400	8700	10000
10023	24级蓝紫	24	2	2500	500	8500	10000	2200	7500	10000
10024	24级紫橙	24	3	1000	100	9100	10000	200	5500	10000
10031	36级白绿	36	0	10000	1000	7000	10000	4300	9100	10000
10032	36级绿蓝	36	1	5000	1000	7000	10000	3600	8400	10000
10033	36级蓝紫	36	2	1000	100	9100	10000	2200	7000	10000
10034	36级紫橙	36	3	200	50	9050	10000	200	5000	10000
10041	48级白绿	48	0	9000	1000	7000	10000	4600	8900	10000
10042	48级绿蓝	48	1	1000	500	7500	10000	3800	8100	10000
10043	48级蓝紫	48	2	100	100	9100	10000	2200	6500	10000
10044	48级紫橙	48	3	10	50	9050	10000	200	4500	10000
10051	60级白绿	60	0	9000	800	7800	10000	3800	8700	10000
10052	60级绿蓝	60	1	1000	400	7900	10000	3000	7900	10000
10053	60级蓝紫	60	2	100	100	9100	10000	2100	6000	10000
10054	60级紫橙	60	3	10	50	9550	10000	100	4000	10000
10061	72级白绿	72	0	7500	500	8000	10000	3600	8500	10000
10062	72级绿蓝	72	1	750	200	8200	10000	2800	7700	10000
10063	72级蓝紫	72	2	50	50	9050	10000	2100	5500	10000
10064	72级紫橙	72	3	5	30	9530	10000	100	3500	10000
10071	84级白绿	84	0	7500	200	8200	10000	3350	8300	10000
10072	84级绿蓝	84	1	750	100	8600	10000	2550	7500	10000
10073	84级蓝紫	84	2	50	50	9050	10000	2050	5000	10000
10074	84级紫橙	84	3	5	30	9530	10000	50	3000	10000
10081	96级白绿	96	0	6000	100	8600	10000	3650	8100	10000
10082	96级绿蓝	96	1	300	50	9050	10000	2750	7200	10000
10083	96级蓝紫	96	2	20	30	9530	10000	2050	4500	10000
10084	96级紫橙	96	3	2	10	9710	10000	50	2500	10000
10091	108级白绿	108	0	6000	50	9050	10000	3910	7900	10000
10092	108级绿蓝	108	1	300	30	9530	10000	2910	6900	10000
10093	108级蓝紫	108	2	20	10	9710	10000	2010	4000	10000
10094	108级紫橙	108	3	2	10	9710	10000	10	2000	10000
10101	120级白绿	120	0	5000	30	9530	10000	4210	7700	10000
10102	120级绿蓝	120	1	100	10	9710	10000	3110	6600	10000
10103	120级蓝紫	120	2	7	5	9905	10000	2010	3500	10000
10104	120级紫橙	120	3	1	5	9905	10000	10	1500	10000
11011	18白绿	18	0	10000	1000	7000	10000	4000	9300	10000
11012	18绿蓝	18	1	5000	1000	7000	10000	3400	8700	10000
11021	30白绿	30	0	10000	1000	7000	10000	4300	9100	10000
11022	30绿蓝	30	1	5000	1000	7000	10000	3600	8400	10000
11031	42白绿	42	0	9000	1000	7000	10000	4600	8900	10000
11032	42绿蓝	42	1	1000	500	7500	10000	3800	8100	10000
11041	54白绿	54	0	9000	800	7800	10000	3800	8700	10000
11042	54绿蓝	54	1	1000	400	7900	10000	3000	7900	10000
11051	66白绿	66	0	7500	500	8000	10000	3600	8500	10000
11052	66绿蓝	66	1	750	200	8200	10000	2800	7700	10000
11061	78白绿	78	0	7500	200	8200	10000	3350	8300	10000
11062	78绿蓝	78	1	750	100	8600	10000	2550	7500	10000
11071	90白绿	90	0	6000	100	8600	10000	3650	8100	10000
11072	90绿蓝	90	1	300	50	9050	10000	2750	7200	10000
11081	102白绿	102	0	6000	50	9050	10000	3910	7900	10000
11082	102绿蓝	102	1	300	30	9530	10000	2910	6900	10000
11091	114白绿	114	0	5000	30	9530	10000	4210	7700	10000
11092	114绿蓝	114	1	100	10	9710	10000	3110	6600	10000
11101	119白绿	119	0	5000	30	9530	10000	4210	7700	10000
11102	119绿蓝	119	1	100	10	9710	10000	3110	6600	10000
