编号	名字	图像	游戏币价格	元宝价格	可否使用	可否交易	可否丢弃	可否出售	可否存仓库	品质	道具功能类型	参数1	参数2	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	附加参数	描述
id	name	icon	moneyCost	treasureCost	usable	tradable	dropable	soldable	storable	quality	spType	parameter1	parameter2	extraData	extraData	extraData	extraData	extraData	extraData	extraData	extraData	extraData	extraData	description
1633080001	超级新手装(游侠)	4	0	329	1	1	0	1	1	5	23	4	0	1110031200	1130031200	1120031200	1210031200	0	0	0	0	0	0	包里包括一套游侠的超级新手装备，使用时请确认身上有4个空位
1633080002	超级新手装(法师)	4	0	314	1	1	0	1	1	5	23	4	0	1111031200	1131031200	1121031200	1221031200	0	0	0	0	0	0	包里包括一套法师的超级新手装备，使用时请确认身上有4个空位
1633080003	超级新手装(战士)	4	0	359	1	1	0	1	1	5	23	5	0	1112031200	1132031200	1122031200	1142031200	1232031200	0	0	0	0	0	包里包括一套战士的超级新手装备，使用时请确认身上有5个空位
1633080004	超级小强装(游侠)	4	0	3474	1	1	0	1	1	5	23	4	0	1110031300	1130031300	1120031300	1210031300	0	0	0	0	0	0	包里包括一套游侠的超级小强装备，使用时请确认身上有4个空位
1633080005	超级小强装(法师)	4	0	2309	1	1	0	1	1	5	23	4	0	1111031300	1131031300	1121031300	1221031300	0	0	0	0	0	0	包里包括一套法师的超级小强装备，使用时请确认身上有4个空位
1633080006	超级小强装(战士)	4	0	3654	1	1	0	1	1	5	23	5	0	1112031300	1132031300	1122031300	1142031300	1232031300	0	0	0	0	0	包里包括一套战士的超级小强装备，使用时请确认身上有5个空位
1633080007	超级专业装(游侠)	4	0	8909	1	1	0	1	1	5	23	4	0	1110031400	1130031400	1120031400	1210031400	0	0	0	0	0	0	包里包括一套游侠的超级专业装备，使用时请确认身上有4个空位
1633080008	超级专业装(法师)	4	0	8219	1	1	0	1	1	5	23	4	0	1111031400	1131031400	1121031400	1221031400	0	0	0	0	0	0	包里包括一套法师的超级专业装备，使用时请确认身上有4个空位
1633080009	超级专业装(战士)	4	0	9479	1	1	0	1	1	5	23	5	0	1112031400	1132031400	1122031400	1142031400	1232031400	0	0	0	0	0	包里包括一套战士的超级专业装备，使用时请确认身上有5个空位
1633080010	小喇叭包10个装	4	0	9	1	1	0	1	1	5	23	3	0	1633040011	1633040011	1633080011	0	0	0	0	0	0	0	包里包括2个小喇叭，和1个装有8个喇叭的封包，使用时请确认身上有3个空位
1633080011	小喇叭包8个装	4	0	7	1	1	0	1	1	5	23	3	0	1633040011	1633040011	1633080012	0	0	0	0	0	0	0	包里包括2个小喇叭，和1个装有6个喇叭的封包，使用时请确认身上有3个空位
1633080012	小喇叭包6个装	4	0	5	1	1	0	1	1	5	23	3	0	1633040011	1633040011	1633080013	0	0	0	0	0	0	0	包里包括2个小喇叭，和1个装有4个喇叭的封包，使用时请确认身上有3个空位
1633080013	小喇叭包4个装	4	0	3	1	1	0	1	1	5	23	3	0	1633040011	1633040011	1633080014	0	0	0	0	0	0	0	包里包括2个小喇叭，和1个装有2个喇叭的封包，使用时请确认身上有3个空位
1633080014	小喇叭包2个装	4	0	1	1	1	0	1	1	5	23	2	0	1633040011	1633040011	0	0	0	0	0	0	0	0	包里包括2个小喇叭，使用时请确认身上有2个空位
1633080101	超级新手包(游侠)	4	0	330	1	1	0	1	1	5	23	9	0	1633080001	1633080231	0	0	0	0	0	0	0	0	游侠的超级新手装包，包括一套游侠的超级新手装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080102	超级新手包(法师)	4	0	315	1	1	0	1	0	5	23	9	0	1633080002	1633080231	0	0	0	0	0	0	0	0	法师的超级新手装包，包括一套法师的超级新手装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080103	超级新手包(战士)	4	0	360	1	1	0	1	1	5	23	10	0	1633080003	1633080231	0	0	0	0	0	0	0	0	战士的超级新手装包，包括一套战士的超级新手装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080104	超级小强包(游侠)	4	0	2475	1	1	0	1	1	5	23	9	0	1633080004	1633080231	0	0	0	0	0	0	0	0	游侠的超级小强装包，包括一套游侠的超级小强装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080105	超级小强包(法师)	4	0	2310	1	1	0	1	1	5	23	9	0	1633080005	1633080231	0	0	0	0	0	0	0	0	法师的超级小强装包，包括一套法师的超级小强装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080106	超级小强包(战士)	4	0	2655	1	1	0	1	1	5	23	10	0	1633080006	1633080231	0	0	0	0	0	0	0	0	战士的超级小强装包，包括一套战士的超级小强装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080107	超级专业包(游侠)	4	0	8910	1	1	0	1	1	5	23	9	0	1633080007	1633080231	0	0	0	0	0	0	0	0	游侠的超级专业装包，包括一套游侠的超级专业装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080108	超级专业包(法师)	4	0	8220	1	1	0	1	1	5	23	9	0	1633080008	1633080231	0	0	0	0	0	0	0	0	法师的超级专业装包，包括一套法师的超级专业装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080109	超级专业包(战士)	4	0	9480	1	1	0	1	1	5	23	10	0	1633080009	1633080231	0	0	0	0	0	0	0	0	战士的超级专业装包，包括一套战士的超级专业装备以及3个天工石1个祈祷宝石1瓶复活药水，分装在2个包里，使用时请确认身上有2个空位
1633080201	日常生活包	4	0	10	1	1	0	1	1	5	23	10	0	1633040011	1633040011	1633060010	1633060010	1633040001	1633040001	1633002009	1633002009	1633002010	1633002010	包里包括2个小喇叭、2个复活药水、2个赎罪之水、2个特效治疗药水包、2个特效魔法药水包，使用时请确认身上有10个空位
1633080202	精炼包	4	0	728	1	1	0	1	1	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1633080203	冲等精炼包	4	0	228	1	1	0	1	1	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1633080204	合成精炼包	4	0	488	1	1	0	1	1	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1633080205	挂机包	4	0	150	1	1	0	1	1	5	23	3	0	1633050014	1633050020	1633050033	0	0	0	0	0	0	0	包里包括1个在线挂机宝石（12小时）、1个离线挂机宝石（12小时）、1个双倍经验宝石（12小时），使用时请确认身上有3个空位
1633080206	小喇叭包12个装	4	0	11	1	1	0	1	1	5	23	3	0	1633040011	1633040011	1633080010	0	0	0	0	0	0	0	包里包括2个小喇叭，和1个装有10个喇叭的封包，使用时请确认身上有3个空位
1633080207	复活药水包	4	0	5	1	1	0	1	1	5	23	6	1633060010	0	0	0	0	0	0	0	0	0	0	包里包括6个复活药水，使用时请确认身上有6个空位
1633080208	赎罪之水包	4	0	10	1	1	0	1	1	5	23	5	1633040001	0	0	0	0	0	0	0	0	0	0	包里包括5个赎罪之水，使用时请确认身上有5个空位
1633080209	天工石包	4	0	20	1	1	0	1	1	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1633080210	地造石包	4	0	36	1	1	0	1	1	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1633080211	完美附包	4	0	15	1	1	0	1	1	5	23	2	0	1633060010	1333030100	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080212	完美附包	4	0	30	1	1	0	1	1	5	23	2	0	1633060010	1333030200	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080213	完美附包	4	0	40	1	1	0	1	1	5	23	2	0	1633060010	1333030300	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080214	完美附包	4	0	50	1	1	0	1	1	5	23	2	0	1633060010	1333030400	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080215	完美附包	4	0	60	1	1	0	1	1	5	23	2	0	1633060010	1333030500	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080216	完美附包	4	0	70	1	1	0	1	1	5	23	2	0	1633060010	1333030600	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080217	完美附包	4	0	80	1	1	0	1	1	5	23	2	0	1633060010	1333030700	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080218	完美附包	4	0	90	1	1	0	1	1	5	23	2	0	1633060010	1333030800	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080219	完美附包	4	0	100	1	1	0	1	1	5	23	2	0	1633060010	1333030900	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080220	完美附包	4	0	110	1	1	0	1	1	5	23	2	0	1633060010	1333031000	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
1633080221	神品附包	4	0	15	1	1	0	1	1	5	23	2	0	1633060010	1333030100	0	0	0	0	0	0	0	0	包里包括1个复活药水、1个相应等级的藏宝图，使用时请确认身上有2个空位
