编号	名字	图标	动画播放时间	目标类型(0正面1负面)	动画样式	目标状态编号	成功几率	使用范围	等级	升级所需经验	升级所需角色等级	下一等级ID	消耗魔法	自身冷却时间	公共冷却时间	简介
id	name	icon	timeLast	stateType	animation	stateID	successRate	releaseRange	level	maxExperience	requiredLevel	nextLevelSpellID	manaCost	selfCoolTime	globalCoolTime	description
97020101	护甲	19	500	0	17	85000801	100	6	1	150	14	97020102	12	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的物理防御的7%
97020102	护甲	19	500	0	17	85000802	100	6	2	300	19	97020103	16	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的的物理防御9%
97020103	护甲	19	500	0	17	85000803	100	6	3	600	24	97020104	20	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的物理防御的11%
97020104	护甲	19	500	0	17	85000804	100	6	4	1050	29	97020105	24	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的的物理防御13%
97020105	护甲	19	500	0	17	85000805	100	6	5	1650	34	97020106	28	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的物理防御的15%
97020106	护甲	19	500	0	17	85000806	100	6	6	2400	39	97020107	32	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的的物理防御17%
97020107	护甲	19	500	0	17	85000807	100	6	7	3300	44	97020108	36	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的物理防御的19%
97020108	护甲	19	500	0	17	85000808	100	6	8	4500	49	97020109	40	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的的物理防御21%
97020109	护甲	19	500	0	17	85000809	100	6	9	6000	54	97020110	44	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的物理防御的23%
97020110	护甲	19	500	0	17	85000810	100	6	10	0	0	0	48	8000	1000	让自己进入护甲状态，在60秒之内提高自身除装备外的的物理防御25%
97020201	狂暴	20	500	0	9	85001001	100	6	1	150	23	97020202	20	10000	1000	让自己进入狂暴状态，在40秒之内提高75的攻击速度，并降低自身除装备外的5%物理防御以及2%闪避
97020202	狂暴	20	500	0	9	85001002	100	6	2	300	28	97020203	24	10000	1000	让自己进入狂暴状态，在40秒之内提高100的攻击速度，并降低自身除装备外的8%物理防御以及4%闪避
97020203	狂暴	20	500	0	9	85001003	100	6	3	600	33	97020204	28	10000	1000	让自己进入狂暴状态，在40秒之内提高125的攻击速度，并降低自身除装备外的11%物理防御以及6%闪避
97020204	狂暴	20	500	0	9	85001004	100	6	4	1050	38	97020205	32	10000	1000	让自己进入狂暴状态，在40秒之内提高150的攻击速度，并降低自身除装备外的14%物理防御以及8%闪避
97020205	狂暴	20	500	0	9	85001005	100	6	5	1650	43	97020206	36	10000	1000	让自己进入狂暴状态，在40秒之内提高175的攻击速度，并降低自身除装备外的17%物理防御以及10%闪避
97020206	狂暴	20	500	0	9	85001006	100	6	6	2400	48	97020207	40	10000	1000	让自己进入狂暴状态，在40秒之内提高200的攻击速度，并降低自身除装备外的20%物理防御以及12%闪避
97020207	狂暴	20	500	0	9	85001007	100	6	7	3300	53	97020208	44	10000	1000	让自己进入狂暴状态，在40秒之内提高225的攻击速度，并降低自身除装备外的23%物理防御以及14%闪避
