编号	名字	显示图标	头顶提示	能否移动	能否攻击	起效延迟时间	持续次数	每次时间间隔	每次加生命数量	每次加魔法数量	加最大生命百分比	增加移动时间	增加移动间隔	增加攻击时间	增加攻击间隔	增加最小物理攻击	增加最大物理攻击	增加最小魔法攻击	增加最大魔法攻击	增加物理防御 	增加魔法防御 	增加命中	增加躲闪	怪物中此状态时的仇恨计算系数	简介
id	name	icon	tipIcon	movable	fightable	delayTime	totalFrames	frameTime	hpPerTime	mpPerTime	raisedLifeRate	stepTimeRate	moveDelayRate	attackTimeRate	attackDelayRate	minPhysicalDamageRate	maxPhysicalDamageRate	minMagicDamageRate	maxMagicDamageRate	physicalDefenseRate	magicDefenseRate	hittingAbilityRate	evadingAbilityRate	enmityFactor	description
85000101	刺击	1	0	1	1	800	1	400	-20	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000102	刺击	1	0	1	1	800	1	400	-100	-50	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000103	刺击	1	0	1	1	800	1	400	-180	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000104	刺击	1	0	1	1	800	1	400	-260	-110	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000105	刺击	1	0	1	1	800	1	400	-340	-140	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000106	刺击	1	0	1	1	800	1	400	-420	-170	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000107	刺击	1	0	1	1	800	1	400	-500	-200	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000108	刺击	1	0	1	1	800	1	400	-580	-230	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000109	刺击	1	0	1	1	800	1	400	-660	-260	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000110	刺击	1	0	1	1	800	1	400	-800	-300	0	0	0	0	0	0	0	0	0	0	0	0	0	150	减少生命和魔法
85000201	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-10	0	0	0	100	降低防御
85000202	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-16	0	0	0	100	降低防御
85000203	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-22	0	0	0	100	降低防御
85000204	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-28	0	0	0	100	降低防御
85000205	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-34	0	0	0	100	降低防御
85000206	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-40	0	0	0	100	降低防御
85000207	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-46	0	0	0	100	降低防御
85000208	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-52	0	0	0	100	降低防御
85000209	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-58	0	0	0	100	降低防御
85000210	灼烧	2	0	1	1	0	14	1000	0	0	0	0	0	0	0	0	0	0	0	-64	0	0	0	100	降低防御
85000301	冰冻	3	0	1	1	0	6	1000	0	0	0	300	150	350	150	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000302	冰冻	3	0	1	1	0	6	1000	0	0	0	300	150	350	150	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000303	冰冻	3	0	1	1	0	10	1000	0	0	0	300	150	350	150	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000304	冰冻	3	0	1	1	0	10	1000	0	0	0	300	150	350	150	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000305	冰冻	3	0	1	1	0	14	1000	0	0	0	400	200	450	200	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000306	冰冻	3	0	1	1	0	14	1000	0	0	0	400	200	450	200	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000307	冰冻	3	0	1	1	0	18	1000	0	0	0	400	200	450	200	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000308	冰冻	3	0	1	1	0	18	1000	0	0	0	400	200	450	200	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000309	冰冻	3	0	1	1	0	24	1000	0	0	0	400	200	450	200	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000310	冰冻	3	0	1	1	0	24	1000	0	0	0	500	250	550	250	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000311	冰冻	3	0	1	1	0	24	1000	0	0	0	550	250	600	250	0	0	0	0	0	0	0	0	200	行动变得迟缓
85000401	流血	4	0	1	1	0	2	1000	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
85000402	流血	4	0	1	1	0	2	1000	-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	持续减少生命
