编号	名字	任务目标类型	附带道具	可否放弃任务	可否重复接受	接任务所需物品	种族限制(-1表示无限制)	最小等级限制	最大等级限制	有效时间(分钟)	任务接受间隔(分)	目标数字数据	目标文字数据	完成任务目标值	经验奖励	元宝奖励	金钱奖励	物品奖励	任务目标描叙	任务奖励描叙	任务帮助/提示信息
id	name	subjectType	attachedGoods	cancelable	repeatable	requiredGoodsID	requiredRace	requiredMinLevel	requiredMaxLevel	timeLast	intervalTime	subjectDataInt	subjectDataString	targetStateData	prizeExp	prizeTreasure	prizeMoney	prizeGoodsID	objectiveDesc	rewardDesc	helpInfo
10000001	仓库管理员的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的仓库管理员对话	任务奖励5经验	仓库管理员在新迪岛的西北部
10000002	防具商人的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的防具商人对话	任务奖励5经验	防具商人在新迪岛的东北部
10000003	危机	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的武器商人对话	任务奖励5经验	武器商人在新迪岛的东北部
10000004	奸商的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的奸商对话	任务奖励5经验	奸商在新迪岛的东部
10000005	智慧老人的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的智慧老人对话	任务奖励5经验	智慧老人在新迪岛的南部
10000006	修女的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的修女对话	任务奖励5经验	修女在新迪岛的南部
10000007	传送使者的教导	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	0	与新迪岛上的传送使者对话	任务奖励5经验	传送使者在新迪岛的西部
10000008	新手指导员的馈赠	0	0	0	0	0	-1	0	255	0	0	0	0	0	5	0	0	1333000000	与新迪岛上的新手指导员对话	任务奖励20经验	新手指导员在新迪岛中部
10000009	礼品使者的馈赠	0	0	0	0	0	-1	0	255	0	0	0	0	0	2995270	0	150000	1333000000	与新迪岛上的礼品使者对话	新人礼品装一套	礼品使者在新迪岛(29.32)坐标附近
