编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor
1210000100	短木弓	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	38	48	8	12	-500	-500	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000101	短木弓+1	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	62	72	16	20	-500	-500	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000102	短木弓+2	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	86	96	24	28	-500	-500	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000103	短木弓+3	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	110	120	32	36	-500	-500	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000104	短木弓+4	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	134	144	40	44	-500	-500	7	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000105	短木弓+5	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	158	168	48	52	-500	-500	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000106	短木弓+6	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	182	192	56	60	-500	-500	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000107	短木弓+7	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	206	216	64	68	-500	-500	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000108	短木弓+8	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	230	240	72	76	-500	-500	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000109	短木弓+9	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	254	264	80	84	-500	-500	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000110	短木弓+10	0	0	1	0	9	0		0	很一般的木制弓箭	0	0	0	0	0	0	0	278	288	88	92	-500	-500	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1210000200	硬弓	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	500	0	0	0	0	0	0	172	230	42	56	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000201	硬弓+1	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	600	0	0	0	0	0	0	196	254	50	64	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000202	硬弓+2	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	700	0	0	0	0	0	0	220	278	58	72	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000203	硬弓+3	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	800	10000	500	0	0	0	0	244	302	66	80	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000204	硬弓+4	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	900	10000	500	0	0	0	0	268	326	74	88	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000205	硬弓+5	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	1000	10000	500	0	0	0	0	292	350	82	96	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000206	硬弓+6	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	1100	10000	500	0	0	0	0	316	374	90	104	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000207	硬弓+7	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	1200	10000	500	0	0	0	0	340	398	98	112	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000208	硬弓+8	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	1300	10000	500	0	0	0	0	364	422	106	120	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000209	硬弓+9	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	1400	10000	500	0	0	0	0	388	446	114	128	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1210000210	硬弓+10	12	0	2	0	2000	0		0	用比较好材料打造的弓箭	0	10000	500	0	0	0	0	412	470	122	136	-500	-500	16	1	0	0	0	0	0	0	0	0	0	0	0	0
1210010200	精品硬弓	12	0	2	1	2000	0		0	用比较好材料打造的弓箭	500	0	0	0	0	0	0	172	230	42	56	-500	-500	6	1	21	28	0	0	0	0	0	0	0	0	0	0
1210010201	精品硬弓+1	12	0	2	1	2000	0		0	用比较好材料打造的弓箭	600	0	0	0	0	0	0	196	254	50	64	-500	-500	7	1	24	31	0	0	0	0	0	0	0	0	0	0
1210010202	精品硬弓+2	12	0	2	1	2000	0		0	用比较好材料打造的弓箭	700	0	0	0	0	0	0	220	278	58	72	-500	-500	8	1	27	34	0	0	0	0	0	0	0	0	0	0
1210010203	精品硬弓+3	12	1	2	1	2000	0		0	用比较好材料打造的弓箭	800	0	0	0	0	0	0	244	302	66	80	-500	-500	9	1	30	37	0	0	0	0	0	0	0	0	0	0
1210010204	精品硬弓+4	12	1	2	1	2000	0		0	用比较好材料打造的弓箭	900	5000	1000	0	0	0	0	268	326	74	88	-500	-500	10	1	33	40	0	0	0	0	0	0	0	0	0	0
1210010205	精品硬弓+5	12	2	2	1	2000	0		0	用比较好材料打造的弓箭	1000	6000	1000	0	0	0	0	292	350	82	96	-500	-500	11	1	36	43	0	0	0	0	0	0	0	0	0	0
1210010206	精品硬弓+6	12	2	2	1	2000	0		0	用比较好材料打造的弓箭	1100	7000	1000	0	0	0	0	316	374	90	104	-500	-500	12	1	39	46	0	0	0	0	0	0	0	0	0	0
1210010207	精品硬弓+7	12	2	2	1	2000	0		0	用比较好材料打造的弓箭	1200	8000	1000	0	0	0	0	340	398	98	112	-500	-500	13	1	42	49	0	0	0	0	0	0	0	0	0	0
1210010208	精品硬弓+8	12	3	2	1	2000	0		0	用比较好材料打造的弓箭	1300	9000	1000	0	0	0	0	364	422	106	120	-500	-500	14	1	45	52	0	0	0	0	0	0	0	0	0	0
1210010209	精品硬弓+9	12	3	2	1	2000	0		0	用比较好材料打造的弓箭	1400	10000	1000	0	0	0	0	388	446	114	128	-500	-500	15	1	48	55	0	0	0	0	0	0	0	0	0	0
1210010210	精品硬弓+10	12	4	2	1	2000	0		0	用比较好材料打造的弓箭	0	10000	1000	0	0	0	0	412	470	122	136	-500	-500	16	1	51	58	0	0	0	0	0	0	0	0	0	0
1210020200	极品硬弓	12	0	2	2	2000	0		0	用比较好材料打造的弓箭	500	0	0	0	0	0	0	172	230	42	56	-500	-500	6	1	21	28	5	7	2	0	0	0	2	0	0	0
1210020201	极品硬弓+1	12	0	2	2	2000	0		0	用比较好材料打造的弓箭	600	0	0	0	0	0	0	196	254	50	64	-500	-500	7	1	24	31	6	8	2	0	0	0	2	0	0	0
1210020202	极品硬弓+2	12	0	2	2	2000	0		0	用比较好材料打造的弓箭	700	0	0	0	0	0	0	220	278	58	72	-500	-500	8	1	27	34	7	9	2	0	0	0	2	0	0	0
1210020203	极品硬弓+3	12	2	2	2	2000	0		0	用比较好材料打造的弓箭	800	0	0	0	0	0	0	244	302	66	80	-500	-500	9	1	30	37	8	10	2	0	0	0	2	0	0	0
1210020204	极品硬弓+4	12	2	2	2	2000	0		0	用比较好材料打造的弓箭	900	0	0	0	0	0	0	268	326	74	88	-500	-500	10	1	33	40	9	11	2	0	0	0	2	0	0	0
1210020205	极品硬弓+5	12	3	2	2	2000	0		0	用比较好材料打造的弓箭	1000	2500	1500	0	0	0	0	292	350	82	96	-500	-500	11	1	36	43	10	12	2	0	0	0	2	0	0	0
1210020206	极品硬弓+6	12	3	2	2	2000	0		0	用比较好材料打造的弓箭	1100	3500	1500	0	0	0	0	316	374	90	104	-500	-500	12	1	39	46	11	13	2	0	0	0	2	0	0	0
1210020207	极品硬弓+7	12	3	2	2	2000	0		0	用比较好材料打造的弓箭	1200	4500	1500	0	0	0	0	340	398	98	112	-500	-500	13	1	42	49	12	14	2	0	0	0	2	0	0	0
1210020208	极品硬弓+8	12	4	2	2	2000	0		0	用比较好材料打造的弓箭	1300	5500	1500	0	0	0	0	364	422	106	120	-500	-500	14	1	45	52	13	15	2	0	0	0	2	0	0	0
1210020209	极品硬弓+9	12	4	2	2	2000	0		0	用比较好材料打造的弓箭	1400	7000	1500	0	0	0	0	388	446	114	128	-500	-500	15	1	48	55	14	16	2	0	0	0	2	0	0	0
1210020210	极品硬弓+10	12	5	2	2	2000	0		0	用比较好材料打造的弓箭	0	10000	1500	0	0	0	0	412	470	122	136	-500	-500	16	1	51	58	15	17	2	0	0	0	2	0	0	0
1210030200	完美硬弓	12	0	2	3	300000	60		0	用比较好材料打造的弓箭	500	0	0	120	0	0	0	172	230	42	56	-500	-500	6	1	21	28	5	7	2	0	10	0	2	0	0	10
1210030201	完美硬弓+1	12	0	2	3	300000	60		0	用比较好材料打造的弓箭	600	0	0	120	0	0	0	196	254	50	64	-500	-500	7	1	24	31	6	8	2	0	10	0	2	0	0	10
1210030202	完美硬弓+2	12	0	2	3	300000	60		0	用比较好材料打造的弓箭	700	0	0	120	0	0	0	220	278	58	72	-500	-500	8	1	27	34	7	9	2	0	10	0	2	0	0	10
1210030203	完美硬弓+3	12	3	2	3	300000	60		0	用比较好材料打造的弓箭	800	0	0	120	0	0	0	244	302	66	80	-500	-500	9	1	30	37	8	10	2	0	10	0	2	0	0	10
1210030204	完美硬弓+4	12	3	2	3	300000	60		0	用比较好材料打造的弓箭	900	0	0	120	0	0	0	268	326	74	88	-500	-500	10	1	33	40	9	11	2	0	10	0	2	0	0	10
1210030205	完美硬弓+5	12	4	2	3	300000	60		0	用比较好材料打造的弓箭	1000	0	0	120	0	0	0	292	350	82	96	-500	-500	11	1	36	43	10	12	2	0	10	0	2	0	0	10
1210030206	完美硬弓+6	12	4	2	3	300000	60		0	用比较好材料打造的弓箭	1100	0	0	120	0	0	0	316	374	90	104	-500	-500	12	1	39	46	11	13	2	0	10	0	2	0	0	10
1210030207	完美硬弓+7	12	4	2	3	300000	60		0	用比较好材料打造的弓箭	1200	1000	2000	120	0	0	0	340	398	98	112	-500	-500	13	1	42	49	12	14	2	0	10	0	2	0	0	10
1210030208	完美硬弓+8	12	5	2	3	300000	60		0	用比较好材料打造的弓箭	1300	1100	2000	120	0	0	0	364	422	106	120	-500	-500	14	1	45	52	13	15	2	0	10	0	2	0	0	10
