编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）	是否可丢弃
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	dropable
1210041200	无双之箭（可强化至80）	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	1000	0	0	0	0	0	0	2084	2776	680	784	-408	-408	168	30	58	78	16	20	3	5	5	5	1	5	5	5	0
1210041201	无双之箭·精炼等级：1	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	2000	0	0	0	0	0	0	2124	2816	712	816	-408	-408	172	30	60	80	18	22	5	5	6	5	1	5	5	5	0
1210041202	无双之箭·精炼等级：2	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	3000	0	0	0	0	0	0	2164	2856	744	848	-408	-408	176	30	62	82	20	24	7	5	7	5	1	5	5	5	0
1210041203	无双之箭·精炼等级：3	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	4000	0	0	0	0	0	0	2204	2896	776	880	-408	-408	180	30	64	84	22	26	9	5	8	5	1	5	5	5	0
1210041204	无双之箭·精炼等级：4	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	5000	0	0	0	0	0	0	2244	2936	808	912	-408	-408	184	30	66	86	24	28	11	5	9	5	1	5	5	5	0
1210041205	无双之箭·精炼等级：5	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	6000	0	0	0	0	0	0	2284	2976	840	944	-408	-408	188	30	68	88	26	30	13	5	10	5	1	5	5	5	0
1210041206	无双之箭·精炼等级：6	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	7000	0	0	0	0	0	0	2324	3016	872	976	-408	-408	192	30	70	90	28	32	15	5	11	5	1	5	5	5	0
1210041207	无双之箭·精炼等级：7	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	8000	0	0	0	0	0	0	2364	3056	904	1008	-408	-408	196	30	72	92	30	34	17	5	12	5	1	5	5	5	0
1210041208	无双之箭·精炼等级：8	0	11	17	4	0	0	拥有50%率定身目标一秒（精炼等级40时开启）	0	无双暗影出品	9000	0	0	0	0	0	0	2404	3096	936	1040	-408	-408	200	30	74	94	32	36	19	5	13	5	1	5	5	5	0
