编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor
1221000100	木杖	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	18	24	24	32	-500	-500	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000101	木杖+1	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	30	36	44	52	-500	-500	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000102	木杖+2	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	42	48	64	72	-500	-500	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000103	木杖+3	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	54	60	84	92	-500	-500	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000104	木杖+4	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	66	72	104	112	-500	-500	7	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000105	木杖+5	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	78	84	124	132	-500	-500	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000106	木杖+6	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	90	96	144	152	-500	-500	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000107	木杖+7	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	102	108	164	172	-500	-500	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000108	木杖+8	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	114	120	184	192	-500	-500	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000109	木杖+9	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	126	132	204	212	-500	-500	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000110	木杖+10	0	0	1	0	9	0		0	普通的入门级法杖	0	0	0	0	1	0	0	138	144	224	232	-500	-500	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1221000200	锡杖	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	500	0	0	0	1	0	0	88	112	104	154	-500	-500	5	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000201	锡杖+1	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	600	0	0	0	1	0	0	100	124	124	174	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000202	锡杖+2	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	700	0	0	0	1	0	0	112	136	144	194	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000203	锡杖+3	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	800	10000	500	0	1	0	0	124	148	164	214	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000204	锡杖+4	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	900	10000	500	0	1	0	0	136	160	184	234	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000205	锡杖+5	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	1000	10000	500	0	1	0	0	148	172	204	254	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000206	锡杖+6	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	1100	10000	500	0	1	0	0	160	184	224	274	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000207	锡杖+7	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	1200	10000	500	0	1	0	0	172	196	244	294	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000208	锡杖+8	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	1300	10000	500	0	1	0	0	184	208	264	314	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000209	锡杖+9	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	1400	10000	500	0	1	0	0	196	220	284	334	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1221000210	锡杖+10	12	0	2	0	1500	0		0	锡制的法杖，大大提高了耐用程度	0	10000	500	0	1	0	0	208	232	304	354	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1221010200	精品锡杖	12	0	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	500	0	0	0	1	0	0	88	112	104	154	-500	-500	5	1	0	0	13	19	0	0	0	0	0	0	0	0
1221010201	精品锡杖+1	12	0	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	600	0	0	0	1	0	0	100	124	124	174	-500	-500	6	1	0	0	15	21	0	0	0	0	0	0	0	0
1221010202	精品锡杖+2	12	0	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	700	0	0	0	1	0	0	112	136	144	194	-500	-500	7	1	0	0	18	24	0	0	0	0	0	0	0	0
1221010203	精品锡杖+3	12	1	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	800	0	0	0	1	0	0	124	148	164	214	-500	-500	8	1	0	0	20	26	0	0	0	0	0	0	0	0
1221010204	精品锡杖+4	12	1	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	900	5000	1000	0	1	0	0	136	160	184	234	-500	-500	9	1	0	0	23	29	0	0	0	0	0	0	0	0
1221010205	精品锡杖+5	12	2	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	1000	6000	1000	0	1	0	0	148	172	204	254	-500	-500	10	1	0	0	25	31	0	0	0	0	0	0	0	0
1221010206	精品锡杖+6	12	2	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	1100	7000	1000	0	1	0	0	160	184	224	274	-500	-500	11	1	0	0	28	34	0	0	0	0	0	0	0	0
1221010207	精品锡杖+7	12	2	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	1200	8000	1000	0	1	0	0	172	196	244	294	-500	-500	12	1	0	0	30	36	0	0	0	0	0	0	0	0
1221010208	精品锡杖+8	12	3	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	1300	9000	1000	0	1	0	0	184	208	264	314	-500	-500	13	1	0	0	33	39	0	0	0	0	0	0	0	0
1221010209	精品锡杖+9	12	3	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	1400	10000	1000	0	1	0	0	196	220	284	334	-500	-500	14	1	0	0	35	41	0	0	0	0	0	0	0	0
1221010210	精品锡杖+10	12	4	2	1	1500	0		0	锡制的法杖，大大提高了耐用程度	0	10000	1000	0	1	0	0	208	232	304	354	-500	-500	15	1	0	0	38	44	0	0	0	0	0	0	0	0
1221020200	极品锡杖	12	0	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	500	0	0	0	1	0	0	88	112	104	154	-500	-500	5	1	11	14	13	19	2	0	0	0	2	0	0	0
1221020201	极品锡杖+1	12	0	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	600	0	0	0	1	0	0	100	124	124	174	-500	-500	6	1	12	15	15	21	2	0	0	0	2	0	0	0
1221020202	极品锡杖+2	12	0	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	700	0	0	0	1	0	0	112	136	144	194	-500	-500	7	1	14	17	18	24	2	0	0	0	2	0	0	0
1221020203	极品锡杖+3	12	2	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	800	0	0	0	1	0	0	124	148	164	214	-500	-500	8	1	15	18	20	26	2	0	0	0	2	0	0	0
1221020204	极品锡杖+4	12	2	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	900	0	0	0	1	0	0	136	160	184	234	-500	-500	9	1	17	20	23	29	2	0	0	0	2	0	0	0
1221020205	极品锡杖+5	12	3	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	1000	2500	1500	0	1	0	0	148	172	204	254	-500	-500	10	1	18	21	25	31	2	0	0	0	2	0	0	0
1221020206	极品锡杖+6	12	3	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	1100	3500	1500	0	1	0	0	160	184	224	274	-500	-500	11	1	20	23	28	34	2	0	0	0	2	0	0	0
1221020207	极品锡杖+7	12	3	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	1200	4500	1500	0	1	0	0	172	196	244	294	-500	-500	12	1	21	24	30	36	2	0	0	0	2	0	0	0
1221020208	极品锡杖+8	12	4	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	1300	5500	1500	0	1	0	0	184	208	264	314	-500	-500	13	1	23	26	33	39	2	0	0	0	2	0	0	0
1221020209	极品锡杖+9	12	4	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	1400	7000	1500	0	1	0	0	196	220	284	334	-500	-500	14	1	24	27	35	41	2	0	0	0	2	0	0	0
1221020210	极品锡杖+10	12	5	2	2	1500	0		0	锡制的法杖，大大提高了耐用程度	0	10000	1500	0	1	0	0	208	232	304	354	-500	-500	15	1	26	29	38	44	2	0	0	0	2	0	0	0
1221030200	完美锡杖	12	0	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	500	0	0	110	1	0	0	88	112	104	154	-500	-500	5	1	11	14	13	19	2	10	0	0	2	0	0	10
1221030201	完美锡杖+1	12	0	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	600	0	0	110	1	0	0	100	124	124	174	-500	-500	6	1	12	15	15	21	2	10	0	0	2	0	0	10
1221030202	完美锡杖+2	12	0	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	700	0	0	110	1	0	0	112	136	144	194	-500	-500	7	1	14	17	18	24	2	10	0	0	2	0	0	10
1221030203	完美锡杖+3	12	3	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	800	0	0	110	1	0	0	124	148	164	214	-500	-500	8	1	15	18	20	26	2	10	0	0	2	0	0	10
1221030204	完美锡杖+4	12	3	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	900	0	0	110	1	0	0	136	160	184	234	-500	-500	9	1	17	20	23	29	2	10	0	0	2	0	0	10
1221030205	完美锡杖+5	12	4	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	1000	0	0	110	1	0	0	148	172	204	254	-500	-500	10	1	18	21	25	31	2	10	0	0	2	0	0	10
1221030206	完美锡杖+6	12	4	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	1100	0	0	110	1	0	0	160	184	224	274	-500	-500	11	1	20	23	28	34	2	10	0	0	2	0	0	10
1221030207	完美锡杖+7	12	4	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	1200	1000	2000	110	1	0	0	172	196	244	294	-500	-500	12	1	21	24	30	36	2	10	0	0	2	0	0	10
1221030208	完美锡杖+8	12	5	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	1300	1100	2000	110	1	0	0	184	208	264	314	-500	-500	13	1	23	26	33	39	2	10	0	0	2	0	0	10
1221030209	完美锡杖+9	12	5	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	1400	1200	2000	110	1	0	0	196	220	284	334	-500	-500	14	1	24	27	35	41	2	10	0	0	2	0	0	10
1221030210	完美锡杖+10	12	6	2	3	264000	53		0	锡制的法杖，大大提高了耐用程度	0	1300	2000	110	1	0	0	208	232	304	354	-500	-500	15	1	26	29	38	44	2	10	0	0	2	0	0	10
1221040200	神品锡杖	12	0	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	500	0	0	184	1	85000601	5	88	112	104	154	-500	-500	5	1	11	14	13	19	2	10	10	10	2	10	10	10
1221040201	神品锡杖+1	12	0	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	600	0	0	184	1	85000601	10	100	124	124	174	-500	-500	6	1	12	15	15	21	2	10	10	10	2	10	10	10
1221040202	神品锡杖+2	12	0	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	700	0	0	184	1	85000601	15	112	136	144	194	-500	-500	7	1	14	17	18	24	2	10	10	10	2	10	10	10
1221040203	神品锡杖+3	12	4	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	800	0	0	184	1	85000601	20	124	148	164	214	-500	-500	8	1	15	18	20	26	2	10	10	10	2	10	10	10
1221040204	神品锡杖+4	12	4	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	900	0	0	184	1	85000601	25	136	160	184	234	-500	-500	9	1	17	20	23	29	2	10	10	10	2	10	10	10
1221040205	神品锡杖+5	12	5	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	1000	0	0	184	1	85000601	30	148	172	204	254	-500	-500	10	1	18	21	25	31	2	10	10	10	2	10	10	10
1221040206	神品锡杖+6	12	5	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	1100	0	0	184	1	85000601	35	160	184	224	274	-500	-500	11	1	20	23	28	34	2	10	10	10	2	10	10	10
1221040207	神品锡杖+7	12	5	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	1200	0	0	184	1	85000601	40	172	196	244	294	-500	-500	12	1	21	24	30	36	2	10	10	10	2	10	10	10
1221040208	神品锡杖+8	12	6	2	4	440000	88		0	锡制的法杖，大大提高了耐用程度	1300	0	0	184	1	85000601	45	184	208	264	314	-500	-500	13	1	23	26	33	39	2	10	10	10	2	10	10	10
