编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）	是否可丢弃
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	dropable
1221041200	无双之术（可强化至80）	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	1000	0	0	0	1	0	0	858	996	1020	1707	-360	-360	24	11	71	83	85	142	2	10	10	10	3	10	10	6	0
1221041201	无双之术·精炼等级：1	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	2000	0	0	0	1	0	0	888	1026	1101	1788	-360	-360	25	11	73	85	92	149	2	10	10	10	5	10	10	7	0
1221041202	无双之术·精炼等级：2	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	3000	0	0	0	1	0	0	918	1056	1182	1869	-360	-360	26	11	75	87	99	156	2	10	10	10	7	10	10	8	0
1221041203	无双之术·精炼等级：3	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	4000	0	0	0	1	0	0	948	1086	1263	1950	-360	-360	27	11	77	89	106	163	2	10	10	10	9	10	10	9	0
1221041204	无双之术·精炼等级：4	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	5000	0	0	0	1	0	0	978	1116	1344	2031	-360	-360	28	11	79	91	113	170	2	10	10	10	11	10	10	10	0
1221041205	无双之术·精炼等级：5	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	6000	0	0	0	1	0	0	1008	1146	1425	2112	-360	-360	29	11	81	93	120	177	2	10	10	10	13	10	10	11	0
1221041206	无双之术·精炼等级：6	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	7000	0	0	0	1	0	0	1038	1176	1506	2193	-360	-360	30	11	83	95	127	184	2	10	10	10	15	10	10	12	0
1221041207	无双之术·精炼等级：7	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	8000	0	0	0	1	0	0	1068	1206	1587	2274	-360	-360	31	11	85	97	134	191	2	10	10	10	17	10	10	13	0
1221041208	无双之术·精炼等级：8	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	9000	0	0	0	1	0	0	1098	1236	1668	2355	-360	-360	32	11	87	99	141	198	2	10	10	10	19	10	10	14	0
1221041209	无双之术·精炼等级：9	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	10000	0	0	0	1	0	0	1128	1266	1749	2436	-360	-360	33	11	89	101	148	205	2	10	10	10	21	10	10	15	0
1221041210	无双之术·精炼等级：10	0	11	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	20000	0	0	0	1	0	0	1158	1296	1830	2517	-360	-360	34	11	91	103	155	212	2	10	10	10	23	10	10	16	0
1221041211	无双之术·精炼等级：11	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	30000	0	0	0	1	0	0	1188	1326	1911	2598	-360	-360	35	11	93	105	162	219	2	10	10	10	25	10	10	17	0
1221041212	无双之术·精炼等级：12	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	40000	0	0	0	1	0	0	1218	1356	1992	2679	-360	-360	36	11	95	107	169	226	2	10	10	10	27	10	10	18	0
1221041213	无双之术·精炼等级：13	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	50000	0	0	0	1	0	0	1248	1386	2073	2760	-360	-360	37	11	97	109	176	233	2	10	10	10	29	10	10	19	0
1221041214	无双之术·精炼等级：14	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	60000	0	0	0	1	0	0	1278	1416	2154	2841	-360	-360	38	11	99	111	183	240	2	10	10	10	31	10	10	20	0
1221041215	无双之术·精炼等级：15	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	70000	0	0	0	1	0	0	1308	1446	2235	2922	-360	-360	39	11	101	113	190	247	2	10	10	10	33	10	10	21	0
1221041216	无双之术·精炼等级：16	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	80000	0	0	0	1	0	0	1338	1476	2316	3003	-360	-360	33	11	103	115	197	254	2	10	10	10	35	10	10	22	0
1221041217	无双之术·精炼等级：17	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	90000	0	0	0	1	0	0	1368	1506	2397	3084	-360	-360	34	11	105	117	204	261	2	10	10	10	37	10	10	23	0
1221041218	无双之术·精炼等级：18	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	100000	0	0	0	1	0	0	1398	1536	2478	3165	-360	-360	35	11	107	119	211	268	2	10	10	10	39	10	10	24	0
1221041219	无双之术·精炼等级：19	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	200000	0	0	0	1	0	0	1428	1566	2559	3246	-360	-360	36	11	109	121	218	275	2	10	10	10	41	10	10	25	0
1221041220	无双之术·精炼等级：20	0	12	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	300000	0	0	0	1	0	0	1458	1596	2640	3327	-360	-360	37	11	111	123	225	282	2	10	10	10	43	10	10	26	0
1221041221	无双之术·精炼等级：21	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	400000	0	0	0	1	0	0	1488	1626	2721	3408	-360	-360	38	11	113	125	232	289	2	10	10	10	45	10	10	27	0
1221041222	无双之术·精炼等级：22	0	13	17	4	0	0	每阶多提高百分之二的魔法攻击	0	无双暗影世界出品	500000	0	0	0	1	0	0	1518	1656	2802	3489	-360	-360	39	11	115	127	239	296	2	10	10	10	47	10	10	28	0
