编号	名字	等级需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
id	name	requiredLevel	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor
1232000100	短剑	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	28	58	8	10	-500	-500	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000101	短剑+1	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	52	82	16	18	-500	-500	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000102	短剑+2	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	76	106	24	26	-500	-500	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000103	短剑+3	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	100	130	32	34	-500	-500	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000104	短剑+4	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	124	154	40	42	-500	-500	7	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000105	短剑+5	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	148	178	48	50	-500	-500	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000106	短剑+6	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	172	202	56	58	-500	-500	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000107	短剑+7	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	196	226	64	66	-500	-500	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000108	短剑+8	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	220	250	72	74	-500	-500	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000109	短剑+9	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	244	274	80	82	-500	-500	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000110	短剑+10	0	0	1	0	9	0		0	很普通的剑，剑身很短，更像是匕首	0	0	0	0	2	0	0	268	298	88	90	-500	-500	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1232000200	长剑	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	500	0	0	0	2	0	0	134	264	36	48	-500	-500	5	1	0	0	0	0	0	0	0	0	0	0	0	0
1232000201	长剑+1	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	600	0	0	0	2	0	0	158	288	44	56	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1232000202	长剑+2	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	700	0	0	0	2	0	0	182	312	52	64	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1232000203	长剑+3	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	800	10000	500	0	2	0	0	206	336	60	72	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1232000204	长剑+4	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	900	10000	500	0	2	0	0	230	360	68	80	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1232000205	长剑+5	12	0	2	0	1750	0		0	铁质的剑，剑身很长，利于近身搏斗	1000	10000	500	0	2	0	0	254	384	76	88	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
