编号	名字	等级需求	转生需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼几率	精炼费用	升级费用	种族要求	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）	是否可丢弃
id	name	requiredLevel	requiredTurn	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineRate	refineCost	upgradeCost	requiredRace	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor	dropable
1232041200	无双之魄（可强化至80）	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	1000	0	0	0	2	0	0	1184	2688	584	716	-401	-401	68	1	174	388	50	70	0	0	0	0	0	0	0	0	0
1232041201	无双之魄·精炼等级：1	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	2000	0	0	0	2	0	0	1224	2744	604	736	-401	-401	72	1	177	391	54	73	0	0	0	0	0	0	0	0	0
1232041202	无双之魄·精炼等级：2	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	3000	0	0	0	2	0	0	1264	2800	624	756	-401	-401	76	1	180	394	58	76	0	0	0	0	0	0	0	0	0
1232041203	无双之魄·精炼等级：3	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	4000	0	0	0	2	0	0	1304	2856	644	776	-401	-401	80	1	183	397	62	79	0	0	0	0	0	0	0	0	0
1232041204	无双之魄·精炼等级：4	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	5000	0	0	0	2	0	0	1344	2912	664	796	-401	-401	84	1	186	400	66	82	0	0	0	0	0	0	0	0	0
1232041205	无双之魄·精炼等级：5	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	6000	0	0	0	2	0	0	1384	2968	684	816	-401	-401	88	1	189	403	70	85	0	0	0	0	0	0	0	0	0
1232041206	无双之魄·精炼等级：6	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	7000	0	0	0	2	0	0	1424	3024	704	836	-401	-401	92	1	192	406	74	88	0	0	0	0	0	0	0	0	0
1232041207	无双之魄·精炼等级：7	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	8000	0	0	0	2	0	0	1464	3080	724	856	-401	-401	96	1	195	409	78	91	0	0	0	0	0	0	0	0	0
1232041208	无双之魄·精炼等级：8	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	9000	0	0	0	2	0	0	1504	3136	744	876	-401	-401	100	1	198	412	82	94	0	0	0	0	0	0	0	0	0
1232041209	无双之魄·精炼等级：9	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	10000	0	0	0	2	0	0	1544	3192	764	896	-401	-401	104	1	201	415	86	97	0	0	0	0	0	0	0	0	0
1232041210	无双之魄·精炼等级：10	0	0	11	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	20000	0	0	0	2	0	0	1584	3248	784	916	-401	-401	108	1	204	418	90	100	0	0	0	0	0	0	0	0	0
1232041211	无双之魄·精炼等级：11	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	30000	0	0	0	2	0	0	1624	3304	804	936	-401	-401	112	1	207	421	94	103	0	0	0	0	0	0	0	0	0
1232041212	无双之魄·精炼等级：12	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	40000	0	0	0	2	0	0	1664	3360	824	956	-401	-401	116	1	210	424	98	106	0	0	0	0	0	0	0	0	0
1232041213	无双之魄·精炼等级：13	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	50000	0	0	0	2	0	0	1704	3416	844	976	-401	-401	120	1	213	427	102	109	0	0	0	0	0	0	0	0	0
1232041214	无双之魄·精炼等级：14	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	60000	0	0	0	2	0	0	1744	3472	864	996	-401	-401	124	1	216	430	106	112	0	0	0	0	0	0	0	0	0
1232041215	无双之魄·精炼等级：15	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	70000	0	0	0	2	0	0	1784	3528	884	1016	-401	-401	128	1	219	433	110	115	0	0	0	0	0	0	0	0	0
1232041216	无双之魄·精炼等级：16	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	80000	0	0	0	2	0	0	1824	3584	904	1036	-401	-401	132	1	222	436	114	118	0	0	0	0	0	0	0	0	0
1232041217	无双之魄·精炼等级：17	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	90000	0	0	0	2	0	0	1864	3640	924	1056	-401	-401	136	1	225	439	118	121	0	0	0	0	0	0	0	0	0
1232041218	无双之魄·精炼等级：18	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	100000	0	0	0	2	0	0	1904	3696	944	1076	-401	-401	140	1	228	442	122	124	0	0	0	0	0	0	0	0	0
1232041219	无双之魄·精炼等级：19	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	200000	0	0	0	2	0	0	1944	3752	964	1096	-401	-401	144	1	231	445	126	127	0	0	0	0	0	0	0	0	0
1232041220	无双之魄·精炼等级：20	0	0	12	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	300000	0	0	0	2	0	0	1984	3808	984	1116	-401	-401	148	1	234	448	130	130	0	0	0	0	0	0	0	0	0
1232041221	无双之魄·精炼等级：21	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	400000	0	0	0	2	0	0	2024	3864	1004	1136	-401	-401	152	1	237	451	134	133	0	0	0	0	0	0	0	0	0
1232041222	无双之魄·精炼等级：22	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	500000	0	0	0	2	0	0	2064	3920	1024	1156	-401	-401	156	1	240	454	138	136	0	0	0	0	0	0	0	0	0
1232041223	无双之魄·精炼等级：23	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	600000	0	0	0	2	0	0	2104	3976	1044	1176	-401	-401	160	1	243	457	142	139	0	0	0	0	0	0	0	0	0
1232041224	无双之魄·精炼等级：24	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	700000	0	0	0	2	0	0	2144	4032	1064	1196	-401	-401	164	1	246	460	146	142	0	0	0	0	0	0	0	0	0
1232041225	无双之魄·精炼等级：25	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	800000	0	0	0	2	0	0	2184	4088	1084	1216	-401	-401	168	1	249	463	150	145	0	0	0	0	0	0	0	0	0
1232041226	无双之魄·精炼等级：26	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	900000	0	0	0	2	0	0	2224	4144	1104	1236	-401	-401	172	1	252	466	154	148	0	0	0	0	0	0	0	0	0
1232041227	无双之魄·精炼等级：27	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	1000000	0	0	0	2	0	0	2264	4200	1124	1256	-401	-401	176	1	255	469	158	151	0	0	0	0	0	0	0	0	0
1232041228	无双之魄·精炼等级：28	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	2000000	0	0	0	2	0	0	2304	4256	1144	1276	-401	-401	180	1	258	472	162	154	0	0	0	0	0	0	0	0	0
1232041229	无双之魄·精炼等级：29	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	3000000	0	0	0	2	0	0	2344	4312	1164	1296	-401	-401	184	1	261	475	166	157	0	0	0	0	0	0	0	0	0
1232041230	无双之魄·精炼等级：30	0	0	13	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	4000000	0	0	0	2	0	0	2384	4368	1184	1316	-401	-401	188	1	264	478	170	160	0	0	0	0	0	0	0	0	0
1232041231	无双之魄·精炼等级：31	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	5000000	0	0	0	2	0	0	2424	4424	1204	1336	-401	-401	192	1	267	481	174	163	0	0	0	0	0	0	0	0	0
1232041232	无双之魄·精炼等级：32	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	6000000	0	0	0	2	0	0	2464	4480	1224	1356	-401	-401	196	1	270	484	178	166	0	0	0	0	0	0	0	0	0
1232041233	无双之魄·精炼等级：33	0	0	14	14	4	0	0	拥有神圣之光，每攻击一下有50%率击晕两秒(精练等级达到40时开启)	0	无双暗影出品	7000000	0	0	0	2	0	0	2504	4536	1244	1376	-401	-401	200	1	273	487	182	169	0	0	0	0	0	0	0	0	0
