编号	名字	等级需求	转生需求	光影等级	图标	品质	金币	元宝	功能描述	攻击距离增加	描述	升等费用	精炼费用	升级费用	种族要求	套装编号	套装功能1	套装参数1	套装功能2	套装参数2	套装功能3	套装参数3	套装功能4	套装参数4	套装加成技能	武器攻击附加状态	状态产生几率	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	增加攻击时间	增加攻击间隔	增加攻击命中	双倍攻击几率	附加最小物理攻击	附加最大物理攻击	附加最小魔法攻击	附加最大魔法攻击	物攻加成（等级）	物攻加成（强壮）	物攻加成（敏捷）	物攻加成（智慧）	魔攻加成（等级）	魔攻加成（强壮）	魔攻加成（敏捷）	魔攻加成（智慧）
id	name	requiredLevel	requiredTurn	haloIndex	icon	quality	moneyCost	treasureCost	functionDesc	attackRange	description	increaseCost	refineCost	upgradeCost	requiredRace	suitID	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	suitParamTypes	suitParamValues	suitSkillID	attachedFightState	fightStateRate	minPhysicalDamage	maxPhysicalDamage	minMagicDamage	maxMagicDamage	attackTime	attackDelay	hittingAbility	doubleDamageRate	extraMinPhysicalDamage	extraMaxPhysicalDamage	extraMinMagicDamage	extraMaxMagicDamage	pdLevelFactor	pdStrengthFactor	pdDexterityFactor	pdWisdomFactor	mdLevelFactor	mdStrengthFactor	mdDexterityFactor	mdWisdomFactor
1240050100	深渊·诞生长弓	30	1	11	1	5	1	0		1	庆祝重生的仪式长弓	1200	0	0	0	101	4	130	8	6	1	58	0	0	0	0	0	885	1083	261	306	-500	-500	6	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050101	深渊·诞生长弓+1	30	1	11	1	5	1	0		1	庆祝重生的仪式长弓	1300	0	0	0	101	4	140	8	8	1	61	0	0	0	0	0	945	1143	297	342	-500	-500	7	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050102	深渊·诞生长弓+2	30	1	11	1	5	1	0		1	庆祝重生的仪式长弓	1400	0	0	0	101	4	150	8	10	1	64	0	0	0	0	0	1005	1203	333	378	-500	-500	8	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050103	深渊·诞生长弓+3	30	1	11	1	5	1	0		1	庆祝重生的仪式长弓	1500	0	0	0	101	4	160	8	12	1	67	0	0	0	0	0	1065	1263	369	414	-500	-500	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050104	深渊·诞生长弓+4	30	1	12	1	5	1	0		1	庆祝重生的仪式长弓	1600	0	0	0	101	4	170	8	14	1	70	0	0	0	0	0	1125	1323	405	450	-500	-500	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050105	深渊·诞生长弓+5	30	1	12	1	5	1	0		1	庆祝重生的仪式长弓	1700	0	0	0	101	4	180	8	16	1	73	0	0	0	0	0	1185	1383	441	486	-500	-500	11	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050106	深渊·诞生长弓+6	30	1	12	1	5	1	0		1	庆祝重生的仪式长弓	1800	0	0	0	101	4	190	8	18	1	76	0	0	0	0	0	1245	1443	477	522	-500	-500	12	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050107	深渊·诞生长弓+7	30	1	12	1	5	1	0		1	庆祝重生的仪式长弓	1900	0	0	0	101	4	200	8	20	1	79	0	0	0	0	0	1305	1503	513	558	-500	-500	13	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050108	深渊·诞生长弓+8	30	1	13	1	5	1	0		1	庆祝重生的仪式长弓	2000	0	0	0	101	4	210	8	22	1	82	0	0	0	0	0	1365	1563	549	594	-500	-500	14	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050109	深渊·诞生长弓+9	30	1	13	1	5	1	0		1	庆祝重生的仪式长弓	2100	0	0	0	101	4	220	8	24	1	85	0	0	0	0	0	1425	1623	585	630	-500	-500	15	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050110	深渊·诞生长弓+10	30	1	14	1	5	1	0		1	庆祝重生的仪式长弓	0	0	0	0	101	4	230	8	26	1	88	0	0	0	0	0	1485	1683	621	666	-500	-500	16	1	0	0	0	0	0	0	0	0	0	0	0	0
1240050200	深渊·风语长弓	60	1	12	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	2200	0	0	0	102	4	200	1	95	0	0	0	0	95000301	0	0	1428	2076	414	510	-500	-500	15	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050201	深渊·风语长弓+1	60	1	12	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	2400	0	0	0	102	4	210	1	98	0	0	0	0	95000301	0	0	1488	2136	450	546	-500	-500	16	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050202	深渊·风语长弓+2	60	1	12	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	2600	0	0	0	102	4	220	1	101	0	0	0	0	95000301	0	0	1548	2196	486	582	-500	-500	17	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050203	深渊·风语长弓+3	60	1	12	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	2800	0	0	0	102	4	230	1	104	0	0	0	0	95000301	0	0	1608	2256	522	618	-500	-500	18	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050204	深渊·风语长弓+4	60	1	13	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	3000	0	0	0	102	4	240	1	107	0	0	0	0	95000301	0	0	1668	2316	558	654	-500	-500	19	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050205	深渊·风语长弓+5	60	1	13	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	3200	0	0	0	102	4	250	1	110	0	0	0	0	95000301	0	0	1728	2376	594	690	-500	-500	20	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050206	深渊·风语长弓+6	60	1	13	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	3400	0	0	0	102	4	260	1	113	0	0	0	0	95000301	0	0	1788	2436	630	726	-500	-500	21	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050207	深渊·风语长弓+7	60	1	13	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	3600	0	0	0	102	4	270	1	116	0	0	0	0	95000301	0	0	1848	2496	666	762	-500	-500	22	2	0	0	0	0	0	0	0	0	0	0	0	0
1240050208	深渊·风语长弓+8	60	1	14	4	5	1	0	当穿齐全套深渊·风语套装后，会增加冰冻箭技能等级1	1	风会指引你前进的道路	3800	0	0	0	102	4	280	1	119	0	0	0	0	95000301	0	0	1908	2556	702	798	-500	-500	23	2	0	0	0	0	0	0	0	0	0	0	0	0
