编号	入口名字	最低转生	最高转生	最低等级	最高等级	职业	性别	完成过任务	接受了任务	最低任务数据	最高任务数据	物品需求	话语的显示文字(花括号引用任务内的发布文字)	文字颜色	选项文字1	选项命令1	选项文字2	选项命令2	选项文字3	选项命令3	选项文字4	选项命令4	选项文字5	选项命令5	选项文字6	选项命令6
id	name	minTurn	maxTurn	minLevel	maxLevel	race	sex	taskDone	taskDoing	minTaskData	maxTaskData	requiredGoodsID	text	color	options	commands	options	commands	options	commands	options	commands	options	commands	options	commands
1	level1	0	0	1	1	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你10个金币,你乐意接受吗?"	0	"好啊,我当然要"	addMoney:10	谢谢，不不需要									
2	level2	0	0	2	2	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你11个金币,你乐意接受吗?"	0		addMoney:11										
3	level3	0	0	3	3	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你12个金币,你乐意接受吗?"	0		addMoney:12										
4	level4	0	0	4	4	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你13个金币,你乐意接受吗?"	0		addMoney:13										
5	level5	0	0	5	5	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你14个金币,你乐意接受吗?"	0		addMoney:14										
6	level6	0	0	6	6	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你15个金币,你乐意接受吗?"	0		addMoney:15										
7	level7	0	0	7	7	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你16个金币,你乐意接受吗?"	0		addMoney:16										
8	level8	0	0	8	8	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你17个金币,你乐意接受吗?"	0		addMoney:17										
9	level9	0	0	9	9	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你18个金币,你乐意接受吗?"	0		addMoney:18										
10	level10	0	0	10	10	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你19个金币,你乐意接受吗?"	0		addMoney:19										
11	level11	0	0	11	11	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你20个金币,你乐意接受吗?"	0		addMoney:20										
12	level12	0	0	12	12	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你21个金币,你乐意接受吗?"	0		addMoney:21										
13	level13	0	0	13	13	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你22个金币,你乐意接受吗?"	0		addMoney:22										
14	level14	0	0	14	14	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你23个金币,你乐意接受吗?"	0		addMoney:23										
15	level15	0	0	15	15	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你24个金币,你乐意接受吗?"	0		addMoney:24
16	level16	0	0	16	16	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你25个金币,你乐意接受吗?"	0		addMoney:25
17	level17	0	0	17	17	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你26个金币,你乐意接受吗?"	0		addMoney:26
18	level18	0	0	18	18	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你27个金币,你乐意接受吗?"	0		addMoney:27
19	level19	0	0	19	19	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你28个金币,你乐意接受吗?"	0		addMoney:28
20	level20	0	0	20	20	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你29个金币,你乐意接受吗?"	0		addMoney:29
21	level21	0	0	21	21	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你30个金币,你乐意接受吗?"	0		addMoney:30
22	level22	0	0	22	22	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你31个金币,你乐意接受吗?"	0		addMoney:31
23	level23	0	0	23	23	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你32个金币,你乐意接受吗?"	0		addMoney:32
24	level24	0	0	24	24	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你33个金币,你乐意接受吗?"	0		addMoney:33
25	level25	0	0	25	25	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你34个金币,你乐意接受吗?"	0		addMoney:34
26	level26	0	0	26	26	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你35个金币,你乐意接受吗?"	0		addMoney:35
27	level27	0	0	27	27	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你36个金币,你乐意接受吗?"	0		addMoney:36
28	level28	0	0	28	28	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你37个金币,你乐意接受吗?"	0		addMoney:37
29	level29	0	0	29	29	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你38个金币,你乐意接受吗?"	0		addMoney:38
30	level30	0	0	30	30	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你39个金币,你乐意接受吗?"	0		addMoney:39
31	level31	0	0	31	31	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你40个金币,你乐意接受吗?"	0		addMoney:40
32	level32	0	0	32	32	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你41个金币,你乐意接受吗?"	0		addMoney:41
33	level33	0	0	33	33	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你42个金币,你乐意接受吗?"	0		addMoney:42
34	level34	0	0	34	34	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你43个金币,你乐意接受吗?"	0		addMoney:43
35	level35	0	0	35	35	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你44个金币,你乐意接受吗?"	0		addMoney:44
36	level36	0	0	36	36	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你45个金币,你乐意接受吗?"	0		addMoney:45
37	level37	0	0	37	37	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你46个金币,你乐意接受吗?"	0		addMoney:46
38	level38	0	0	38	38	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你47个金币,你乐意接受吗?"	0		addMoney:47
39	level39	0	0	39	39	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你48个金币,你乐意接受吗?"	0		addMoney:48
40	level40	0	0	40	40	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你49个金币,你乐意接受吗?"	0		addMoney:49
41	level41	0	0	41	41	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你50个金币,你乐意接受吗?"	0		addMoney:50
42	level42	0	0	42	42	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你51个金币,你乐意接受吗?"	0		addMoney:51
43	level43	0	0	43	43	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你52个金币,你乐意接受吗?"	0		addMoney:52
44	level44	0	0	44	44	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你53个金币,你乐意接受吗?"	0		addMoney:53
45	level45	0	0	45	45	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你54个金币,你乐意接受吗?"	0		addMoney:54
46	level46	0	0	46	46	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你55个金币,你乐意接受吗?"	0		addMoney:55
47	level47	0	0	47	47	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你56个金币,你乐意接受吗?"	0		addMoney:56
48	level48	0	0	48	48	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你57个金币,你乐意接受吗?"	0		addMoney:57
49	level49	0	0	49	49	-1	-1	0	0	0	0	0	"恭喜,你升级了!我要奖励你58个金币,你乐意接受吗?"	0		addMoney:58
