X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号
x	y	monsterID	plunderID	behaviorID
12	167	60000023	70000023	80000005
15	171	60000023	70000023	80000005
17	165	60000023	70000023	80000013
20	168	60000023	70000023	80000005
21	174	60000023	70000023	80000014
19	179	60000023	70000023	80000013
24	181	60000023	70000023	80000005
29	183	60000023	70000023	80000005
32	151	60000023	70000023	80000013
28	149	60000023	70000023	80000005
24	149	60000023	70000023	80000014
20	155	60000023	70000023	80000013
19	150	60000023	70000023	80000005
18	159	60000023	70000023	80000005
13	154	60000023	70000023	80000013
26	154	60000023	70000023	80000005
31	155	60000023	70000023	80000014
32	161	60000023	70000023	80000013
24	160	60000023	70000023	80000005
21	163	60000023	70000023	80000005
25	167	60000023	70000023	80000013
28	163	60000023	70000023	80000005
32	168	60000023	70000023	80000014
30	171	60000023	70000023	80000013
27	175	60000023	70000023	80000005
30	178	60000023	70000023	80000005
34	182	60000023	70000023	80000013
37	164	60000023	70000023	80000005
43	160	60000023	70000023	80000014
45	167	60000023	70000023	80000013
49	170	60000023	70000023	80000005
45	178	60000023	70000023	80000005
36	168	60000023	70000023	80000013
43	172	60000023	70000023	80000005
35	175	60000023	70000023	80000014
39	177	60000023	70000023	80000013
39	182	60000023	70000023	80000005
50	163	60000023	70000023	80000005
14	109	60000024	70000024	80000013
21	111	60000024	70000024	80000005
16	115	60000024	70000024	80000014
11	115	60000024	70000024	80000013
23	117	60000024	70000024	80000005
29	120	60000024	70000024	80000005
13	120	60000024	70000024	80000013
19	120	60000024	70000024	80000005
16	125	60000024	70000024	80000014
14	130	60000024	70000024	80000013
17	135	60000024	70000024	80000005
18	130	60000024	70000024	80000005
22	126	60000024	70000024	80000013
25	121	60000024	70000024	80000005
22	132	60000024	70000024	80000014
21	136	60000024	70000024	80000013
25	135	60000024	70000024	80000005
33	123	60000024	70000024	80000005
32	127	60000024	70000024	80000013
35	127	60000024	70000024	80000005
33	132	60000024	70000024	80000014
41	127	60000024	70000024	80000013
37	133	60000024	70000024	80000005
44	130	60000024	70000024	80000005
41	136	60000024	70000024	80000013
38	139	60000024	70000024	80000005
32	139	60000024	70000024	80000014
25	141	60000024	70000024	80000013
29	140	60000024	70000024	80000005
45	141	60000024	70000024	80000005
40	142	60000024	70000024	80000013
35	144	60000024	70000024	80000005
28	145	60000024	70000024	80000014
35	147	60000024	70000024	80000013
39	149	60000024	70000024	80000005
45	150	60000024	70000024	80000005
37	155	60000024	70000024	80000013
42	154	60000024	70000024	80000005
47	158	60000024	70000024	80000005
49	150	60000024	70000024	80000013
52	158	60000024	70000024	80000005
55	162	60000024	70000024	80000005
57	157	60000025	70000025	80000013
54	152	60000025	70000025	80000005
59	150	60000025	70000025	80000005
50	145	60000025	70000025	80000013
54	146	60000025	70000025	80000005
61	146	60000025	70000025	80000005
48	102	60000025	70000025	80000013
53	99	60000025	70000025	80000005
58	97	60000025	70000025	80000005
61	101	60000025	70000025	80000013
56	103	60000025	70000025	80000005
52	104	60000025	70000025	80000005
53	112	60000025	70000025	80000013
58	110	60000025	70000025	80000005
62	108	60000025	70000025	80000005
63	113	60000025	70000025	80000013
55	113	60000025	70000025	80000005
53	117	60000025	70000025	80000005
63	118	60000025	70000025	80000013
61	117	60000025	70000025	80000005
50	120	60000025	70000025	80000005
46	123	60000025	70000025	80000013
49	128	60000025	70000025	80000005
54	124	60000025	70000025	80000005
57	126	60000025	70000025	80000013
61	130	60000025	70000025	80000005
56	131	60000025	70000025	80000005
51	132	60000025	70000025	80000013
47	136	60000025	70000025	80000005
51	139	60000025	70000025	80000005
55	137	60000025	70000025	80000013
58	140	60000025	70000025	80000005
17	58	60000026	70000026	80000005
14	62	60000026	70000026	80000013
21	62	60000026	70000026	80000005
18	66	60000026	70000026	80000005
13	69	60000026	70000026	80000013
24	69	60000026	70000026	80000005
20	72	60000026	70000026	80000005
18	107	60000026	70000026	80000013
23	106	60000026	70000026	80000005
14	101	60000026	70000026	80000005
17	95	60000026	70000026	80000013
19	99	60000026	70000026	80000005
24	101	60000026	70000026	80000005
30	100	60000026	70000026	80000013
23	94	60000026	70000026	80000005
19	89	60000026	70000026	80000005
26	88	60000026	70000026	80000013
24	94	60000026	70000026	80000005
32	100	60000026	70000026	80000005
33	91	60000026	70000026	80000013
32	89	60000026	70000026	80000005
33	81	60000026	70000026	80000005
28	84	60000026	70000026	80000013
30	70	60000026	70000026	80000005
27	75	60000026	70000026	80000005
30	78	60000026	70000026	80000013
23	77	60000026	70000026	80000005
16	74	60000026	70000026	80000005
18	82	60000026	70000026	80000013
24	86	60000026	70000026	80000005
21	35	60000026	70000026	80000005
17	33	60000026	70000026	80000013
19	39	60000026	70000026	80000005
15	41	60000026	70000026	80000005
17	47	60000026	70000026	80000013
50	55	60000027	70000027	80000005
47	59	60000027	70000027	80000005
51	61	60000027	70000027	80000013
49	66	60000027	70000027	80000005
38	106	60000027	70000027	80000005
33	101	60000027	70000027	80000013
40	100	60000027	70000027	80000005
37	91	60000027	70000027	80000005
37	92	60000027	70000027	80000013
43	98	60000027	70000027	80000005
43	93	60000027	70000027	80000005
36	64	60000027	70000027	80000013
34	69	60000027	70000027	80000005
39	68	60000027	70000027	80000005
