X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
134	179	60000022	70000022	80000005	0	0
128	180	60000022	70000022	80000005	0	0
129	175	60000022	70000022	80000013	0	0
125	174	60000022	70000022	80000005	0	0
119	173	60000022	70000022	80000005	0	0
128	168	60000022	70000022	80000013	0	0
132	163	60000022	70000022	80000005	0	0
115	169	60000022	70000022	80000005	0	0
121	168	60000022	70000022	80000013	0	0
126	162	60000022	70000022	80000005	0	0
89	166	60000022	70000022	80000005	0	0
90	175	60000022	70000022	80000013	0	0
96	173	60000022	70000022	80000005	0	0
98	166	60000022	70000022	80000005	0	0
101	171	60000022	70000022	80000013	0	0
104	167	60000022	70000022	80000005	0	0
102	177	60000022	70000022	80000005	0	0
107	180	60000022	70000022	80000013	0	0
112	176	60000022	70000022	80000005	0	0
106	173	60000022	70000022	80000005	0	0
110	170	60000022	70000022	80000013	0	0
107	164	60000022	70000022	80000005	0	0
112	164	60000022	70000022	80000005	0	0
95	126	60000022	70000022	80000013	0	0
98	123	60000022	70000022	80000005	0	0
103	124	60000022	70000022	80000005	0	0
97	131	60000022	70000022	80000013	0	0
101	128	60000022	70000022	80000005	0	0
107	128	60000022	70000022	80000005	0	0
104	132	60000022	70000022	80000013	0	0
103	137	60000022	70000022	80000005	0	0
108	139	60000022	70000022	80000005	0	0
106	144	60000022	70000022	80000013	0	0
110	147	60000022	70000022	80000005	0	0
103	151	60000022	70000022	80000005	0	0
108	151	60000022	70000022	80000013	0	0
107	157	60000022	70000022	80000005	0	0
112	158	60000022	70000022	80000005	0	0
118	161	60000022	70000022	80000013	0	0
129	157	60000023	70000023	80000005	0	0
123	155	60000023	70000023	80000005	0	0
117	154	60000023	70000023	80000013	0	0
120	149	60000023	70000023	80000005	0	0
115	144	60000023	70000023	80000014	0	0
126	150	60000023	70000023	80000013	0	0
132	152	60000023	70000023	80000005	0	0
135	146	60000023	70000023	80000005	0	0
130	146	60000023	70000023	80000013	0	0
121	144	60000023	70000023	80000014	0	0
116	138	60000023	70000023	80000005	0	0
119	133	60000023	70000023	80000013	0	0
122	138	60000023	70000023	80000005	0	0
127	141	60000023	70000023	80000005	0	0
133	139	60000023	70000023	80000013	0	0
130	133	60000023	70000023	80000014	0	0
124	133	60000023	70000023	80000005	0	0
138	131	60000023	70000023	80000013	0	0
131	126	60000023	70000023	80000005	0	0
126	124	60000023	70000023	80000005	0	0
121	120	60000023	70000023	80000013	0	0
125	117	60000023	70000023	80000014	0	0
126	108	60000023	70000023	80000005	0	0
120	114	60000023	70000023	80000013	0	0
121	126	60000023	70000023	80000005	0	0
122	109	60000023	70000023	80000005	0	0
115	109	60000023	70000023	80000013	0	0
110	111	60000023	70000023	80000014	0	0
109	105	60000023	70000023	80000005	0	0
104	101	60000023	70000023	80000013	0	0
113	102	60000023	70000023	80000005	0	0
110	99	60000023	70000023	80000005	0	0
118	97	60000023	70000023	80000013	0	0
114	94	60000023	70000023	80000014	0	0
112	89	60000023	70000023	80000005	0	0
116	87	60000023	70000023	80000013	0	0
118	91	60000023	70000023	80000005	0	0
118	103	60000023	70000023	80000005	0	0
122	95	60000023	70000023	80000013	0	0
121	87	60000023	70000023	80000014	0	0
122	81	60000023	70000023	80000005	0	0
128	87	60000023	70000023	80000013	0	0
125	91	60000023	70000023	80000005	0	0
125	83	60000023	70000023	80000005	0	0
126	77	60000023	70000023	80000013	0	0
130	82	60000023	70000023	80000014	0	0
130	77	60000023	70000023	80000005	0	0
97	102	60000024	70000024	80000013	0	0
94	104	60000024	70000024	80000005	0	0
92	99	60000024	70000024	80000005	0	0
87	97	60000024	70000024	80000013	0	0
92	94	60000024	70000024	80000014	0	0
97	92	60000024	70000024	80000005	0	0
101	87	60000024	70000024	80000013	0	0
90	88	60000024	70000024	80000005	0	0
87	92	60000024	70000024	80000005	0	0
82	94	60000024	70000024	80000013	0	0
82	88	60000024	70000024	80000014	0	0
86	84	60000024	70000024	80000005	0	0
82	81	60000024	70000024	80000013	0	0
80	84	60000024	70000024	80000005	0	0
77	88	60000024	70000024	80000005	0	0
73	83	60000024	70000024	80000013	0	0
77	78	60000024	70000024	80000014	0	0
72	75	60000024	70000024	80000005	0	0
76	71	60000024	70000024	80000013	0	0
71	68	60000024	70000024	80000005	0	0
74	62	60000024	70000024	80000005	0	0
71	59	60000024	70000024	80000013	0	0
74	53	60000024	70000024	80000014	0	0
79	53	60000024	70000024	80000005	0	0
77	58	60000024	70000024	80000013	0	0
77	66	60000024	70000024	80000005	0	0
82	62	60000024	70000024	80000005	0	0
83	57	60000024	70000024	80000013	0	0
87	60	60000024	70000024	80000014	0	0
91	65	60000024	70000024	80000005	0	0
90	58	60000024	70000024	80000013	0	0
91	52	60000024	70000024	80000005	0	0
94	61	60000024	70000024	80000005	0	0
95	55	60000024	70000024	80000013	0	0
98	52	60000024	70000024	80000014	0	0
99	56	60000024	70000024	80000005	0	0
100	60	60000024	70000024	80000013	0	0
97	64	60000024	70000024	80000005	0	0
105	62	60000024	70000024	80000005	0	0
104	54	60000024	70000024	80000013	0	0
107	49	60000024	70000024	80000014	0	0
108	60	60000024	70000024	80000005	0	0
110	54	60000024	70000024	80000013	0	0
