编号	名字	坐标X	坐标Y	图像	对话	商店	脚本
id	name	x	y	image	dialog	shop	script
0	传送使者	53	2	6	65000045	0	
0	奸商	107	43	3	66000603	90000002	
0	仓库管理员	87	74	5	66000601	0	
0	传送使者	113	41	9	65000163	0	
0	修女	79	39	10	66000602	90000001	
0	智慧老人	105	63	7	66000606	90000005	
0	传送使者	113	163	6	65000083	0	
0	传送使者	73	163	6	65000075	0	
0	传送使者	32	163	6	65000079	0	
0	同城传送NPC	93	47	6	67000008	0	
0	盖尔	67	108	5	67000077	0	
0	科威特	127	28	27	66000611	0	
0	礼品道具商人	123	37	11	66000300	0	
0	公会管理员	130	34	22	guildmanager	0	GuildManager
0	竞技场专员	82	75	16	arena-enter	0	ArenaManager
