编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
66000801	转生解说员	58	102	12	66000801	0	0	0
66000802	宠物介绍员	87	71	14	66000802	0	0	0
66000803	套装介绍员	47	81	13	66000803	0	0	0
66000804	合成介绍员	50	133	11	66000804	0	0	0
66000805	技能介绍员	74	120	16	66000805	0	0	0
66000806	仓库管理员	38	38	5	66000806	0	0	0
66000807	武器商人	24	24	4	66000807	90000101	0	0
66000808	智慧老人	92	112	7	66000808	90000005	0	0
66000809	防具商人	40	81	3	66000809	90000102	0	0
66000810	奸商	84	51	3	66000810	90000002	0	0
66000811	修女	81	139	10	66000811	90000001	0	0
66000208	开锁匠	74	72	11	66000230	90000230	0	0
66000812	传送使者	35	137	9	66000812	0	0	0
