编号	名字	场景类型	地图编号	主城编号	进入点X	进入点Y	下线后保留坐标	安全区域中心点X	安全区域中心点Y	安全区域宽度	安全区域高度	可视范围	玩家数量限制	玩家摆摊个数	玩家最小等级限制	玩家最大等级限制	玩家最小转生	玩家最大转生	经验掉落比例	金钱掉落比例	物品掉落比例	物品存活时间(秒)	物品保护时间(秒)	场景生命周期(秒)	可否吃药	可否使用特殊道具	是否收益等级衰减	玩家进入提示信息	玩家进入对话脚本
id	name	sceneType	mapid	homeCity	enterX	enterY	saveHeroPos	safeRegionCenterX	safeRegionCenterY	safeRegionWidth	safeRegionHeight	viewRange	heroCountLimit	personalShopLimit	minHeroLevel	maxHeroLevel	minTurn	maxTurn	plunderExpRate	plunderMoneyRate	plunderGoodsRate	goodsLifeTime	goodsProtectionTime	sceneLifeTime	medicineUsable	specialUsable	earningLevelWeakening	playerEnterTip	playerEnterScript
1	新迪岛	2	19	3	23	31	1	35	40	20	25	12	255	0	0	10000	0	100	100	100	100	120	30	72000	1	1	1	0	newer
3	那亚村	0	110	3	32	143	1	32	143	31	38	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
2	那舍岛	0	139	3	43	56	1	0	0	0	0	12	255	0	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
4	贝尔森林	0	6	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
5	贝特通道	0	10	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
6	特姆海岸	0	1	3	41	52	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
7	幻漠城	0	108	3	38	51	1	38	51	20	25	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
8	贝伦城	0	0	3	72	106	1	78	112	35	38	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
9	代肯沙漠	0	3	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
10	无双·新人打宝	0	7	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	0	Y进入新手打宝地图	0
11	贝诺尼森林	0	76	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
12	伦奇通道	0	4	3	72	102	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
13	梵奇城	0	104	3	83	104	1	84	107	18	22	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
14	迷林岛	0	133	3	86	117	1	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
15	日漠岛	0	13	3	86	117	1	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
16	封印之地	0	98	3	86	117	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
17	海菲利岛	0	50	3	105	75	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
18	奇镜岛	0	110	3	105	75	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
19	暗精镇	0	74	3	105	75	0	105	76	12	29	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
20	血精森林	0	75	3	105	75	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
21	侬肯岛	0	90	3	116	45	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
22	哈尔林地	0	2	3	116	45	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
23	夏基亚城	0	41	3	116	45	1	104	57	31	38	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
24	代肯地宫	0	15	3	10	15	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
26	代肯地道	0	39	3	17	21	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
27	封印迷道	0	141	3	21	59	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
28	幻漠迷道	0	137	3	22	58	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
29	幻漠地宫一层	0	54	3	20	18	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
30	幻漠地宫二层	0	136	3	70	54	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
31	夏亚地道	0	121	3	24	23	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
32	夏亚地宫一层	0	40	3	62	74	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
33	夏亚地宫二层	0	149	3	70	56	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
34	塔魔尼地宫一层	0	59	3	70	130	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
35	塔魔尼幻境	0	62	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
36	塔魔尼幻境	0	63	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
37	塔魔尼幻境	0	64	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
38	塔魔尼幻境	0	66	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
39	塔魔尼幻境	0	67	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
40	塔魔尼幻境	0	68	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
41	塔魔尼幻境	0	69	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
42	塔魔尼幻境	0	70	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
43	塔魔尼幻境	0	71	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
44	塔魔尼幻境	0	72	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
45	塔魔尼幻境	0	116	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
46	塔魔尼幻境	0	118	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
47	塔魔尼幻境	0	119	3	19	27	0	0	0	0	0	12	255	50	0	10000	0	100	100	100	100	120	30	0	1	1	1	0	0
